arm	np	L	c	agg_decode	perreq_med	errors	vram_gib	n_ctx_slot	kv_unified	draft_accept	extra
split	1	2048	3072	92.4	94.8	0	38	3072	false	0.568	
unified	1	2048	3072	91.4	93.9	0	38	3072	true	0.573	
split	2	2048	6144	118.0	62.9	0	38	3072	false	0.618	
unified	2	2048	6144	117.2	61.8	0	38	6144	true	0.626	
split	4	2048	12288	173.1	47.2	0	39	3072	false	0.657	
unified	4	2048	12288	171.5	46.9	0	39	12288	true	0.661	
split	8	2048	24576	229.6	31.2	0	40	3072	false	0.709	
unified	8	2048	24576	227.0	30.7	0	40	24576	true	0.702	
split	1	8192	9216	104.1	104.8	0	38	9216	false	0.676	
unified	1	8192	9216	98.6	99.2	0	38	9216	true	0.626	
split	2	8192	18432	111.3	71.4	0	38	9216	false	0.638	
unified	2	8192	18432	112.9	69.2	0	38	18432	true	0.659	
split	4	8192	36864	153.7	49.4	0	39	9216	false	0.680	
unified	4	8192	36864	152.8	49.1	0	39	36864	true	0.689	
split	8	8192	73728	170.9	30.6	0	41	9216	false	0.690	
unified	8	8192	73728	178.9	32.3	0	41	73728	true	0.703	
split	1	32768	33792	94.4	95.0	0	38	33792	false	0.587	
unified	1	32768	33792	97.1	97.8	0	38	33792	true	0.613	
split	2	32768	67584	103.6	59.3	0	39	33792	false	0.653	
unified	2	32768	67584	104.7	58.6	0	39	67584	true	0.652	
split	4	32768	135168	152.9	46.9	0	41	33792	false	0.666	
unified	4	32768	135168	152.3	45.4	0	41	135168	true	0.680	
split	8	32768	270336	163.3	29.1	0	44	33792	false	0.701	
unified	8	32768	270336	181.0	27.9	0	45	262144	true	0.711	
