0.00.033.344 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.033.684 W srv  llama_server: -----------------
0.00.033.686 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.033.686 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.033.686 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.033.686 W srv  llama_server: -----------------
0.00.034.943 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_M/Qwen3.5-122B-A10B-UD-Q4_K_M-00001-of-00003.gguf'
0.23.389.800 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.23.400.399 I srv  llama_server: model loaded
0.23.400.407 I srv  llama_server: listening on http://127.0.0.1:54029
0.24.486.170 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.486.242 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.40.131.959 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   7.31 t/s, tg_3s =   7.31 t/s
0.43.165.757 I slot print_timing: id  0 | task 0 | n_decoded =    122, tg =   7.30 t/s, tg_3s =   7.25 t/s
0.46.205.602 I slot print_timing: id  0 | task 0 | n_decoded =    144, tg =   7.29 t/s, tg_3s =   7.24 t/s
0.49.247.362 I slot print_timing: id  0 | task 0 | n_decoded =    166, tg =   7.28 t/s, tg_3s =   7.23 t/s
0.52.294.607 I slot print_timing: id  0 | task 0 | n_decoded =    188, tg =   7.27 t/s, tg_3s =   7.22 t/s
0.55.352.768 I slot print_timing: id  0 | task 0 | n_decoded =    210, tg =   7.26 t/s, tg_3s =   7.19 t/s
0.58.391.887 I slot print_timing: id  0 | task 0 | n_decoded =    232, tg =   7.26 t/s, tg_3s =   7.24 t/s
1.01.431.751 I slot print_timing: id  0 | task 0 | n_decoded =    254, tg =   7.26 t/s, tg_3s =   7.24 t/s
1.01.707.801 I slot print_timing: id  0 | task 0 | prompt eval time =    1957.17 ms /    63 tokens (   31.07 ms per token,    32.19 tokens per second)
1.01.707.805 I slot print_timing: id  0 | task 0 |        eval time =   35264.36 ms /   256 tokens (  137.75 ms per token,     7.26 tokens per second)
1.01.707.806 I slot print_timing: id  0 | task 0 |       total time =   37221.53 ms /   319 tokens
1.01.707.812 I slot print_timing: id  0 | task 0 |    graphs reused =        254
1.01.707.859 I slot      release: id  0 | task 0 | stop processing: n_tokens = 318, truncated = 0
1.01.718.815 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1508720950813
1.02.527.346 I slot launch_slot_: id  0 | task 258 | processing task, is_child = 0
1.13.271.994 I slot print_timing: id  0 | task 258 | prompt eval time =    1558.28 ms /    39 tokens (   39.96 ms per token,    25.03 tokens per second)
1.13.272.000 I slot print_timing: id  0 | task 258 |        eval time =    9186.33 ms /    68 tokens (  135.09 ms per token,     7.40 tokens per second)
1.13.272.001 I slot print_timing: id  0 | task 258 |       total time =   10744.62 ms /   107 tokens
1.13.272.002 I slot print_timing: id  0 | task 258 |    graphs reused =        320
1.13.272.035 I slot      release: id  0 | task 258 | stop processing: n_tokens = 106, truncated = 0
1.13.282.891 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1508732514988
1.14.154.564 I slot launch_slot_: id  0 | task 328 | processing task, is_child = 0
1.24.007.318 I slot print_timing: id  0 | task 328 | prompt eval time =    1790.24 ms /    54 tokens (   33.15 ms per token,    30.16 tokens per second)
1.24.007.324 I slot print_timing: id  0 | task 328 |        eval time =    8062.48 ms /    60 tokens (  134.37 ms per token,     7.44 tokens per second)
1.24.007.324 I slot print_timing: id  0 | task 328 |       total time =    9852.72 ms /   114 tokens
1.24.007.326 I slot print_timing: id  0 | task 328 |    graphs reused =        378
1.24.007.354 I slot      release: id  0 | task 328 | stop processing: n_tokens = 113, truncated = 0
1.24.017.483 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1508743250307
1.24.193.371 I slot launch_slot_: id  0 | task 390 | processing task, is_child = 0
1.32.091.468 I slot print_timing: id  0 | task 390 | prompt eval time =    1223.74 ms /    43 tokens (   28.46 ms per token,    35.14 tokens per second)
1.32.091.478 I slot print_timing: id  0 | task 390 |        eval time =    6674.32 ms /    50 tokens (  133.49 ms per token,     7.49 tokens per second)
1.32.091.479 I slot print_timing: id  0 | task 390 |       total time =    7898.06 ms /    93 tokens
1.32.091.481 I slot print_timing: id  0 | task 390 |    graphs reused =        426
1.32.091.508 I slot      release: id  0 | task 390 | stop processing: n_tokens = 92, truncated = 0
1.32.093.537 I srv    operator(): operator(): cleaning up before exit...
