role,model_id,model_path,context_length,max_context,ctk,ctv,hadamard,status,rss_load_mb,rss_after_prefill_mb,server_kv_size_mb,prompt_tokens,prompt_tps,log_file,notes
frontdoor,qwen3.6-35b-a3b-q8_0,/mnt/raid0/llm/models/Qwen_Qwen3.6-35B-A3B-Q8_0.gguf,2048,32768,q4_0,f16,no,ok,35532.1,35764.3,62.813,784,226.38,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/frontdoor_ctx2048.log,
frontdoor,qwen3.6-35b-a3b-q8_0,/mnt/raid0/llm/models/Qwen_Qwen3.6-35B-A3B-Q8_0.gguf,8192,32768,q4_0,f16,no,ok,35608.8,36034.0,62.813,3090,221.31,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/frontdoor_ctx8192.log,
frontdoor,qwen3.6-35b-a3b-q8_0,/mnt/raid0/llm/models/Qwen_Qwen3.6-35B-A3B-Q8_0.gguf,32768,32768,q4_0,f16,no,ok,35924.3,36415.8,62.813,12306,207.19,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/frontdoor_ctx32768.log,
ingest_long_context,qwen3-next-80b-a3b-q4_k_m,/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen3-Next-80B-A3B-Instruct-GGUF/Qwen3-Next-80B-A3B-Instruct-Q4_K_M.gguf,2048,32768,q4_0,f16,no,ok,81951.3,82279.8,75.376,781,155.07,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/ingest_long_context_ctx2048.log,
ingest_long_context,qwen3-next-80b-a3b-q4_k_m,/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen3-Next-80B-A3B-Instruct-GGUF/Qwen3-Next-80B-A3B-Instruct-Q4_K_M.gguf,8192,32768,q4_0,f16,no,ok,82041.6,82574.3,75.376,3087,154.62,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/ingest_long_context_ctx8192.log,
ingest_long_context,qwen3-next-80b-a3b-q4_k_m,/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen3-Next-80B-A3B-Instruct-GGUF/Qwen3-Next-80B-A3B-Instruct-Q4_K_M.gguf,32768,32768,q4_0,f16,no,ok,82412.5,82970.0,75.376,12303,138.33,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/ingest_long_context_ctx32768.log,
worker_general,gemma4-26b-a4b-q4_k_m,/mnt/raid0/llm/models/gemma-4-26B-A4B-it-Q4_K_M.gguf,2048,16384,q4_0,f16,no,ok,25389.3,25700.5,101.359,814,434.89,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/worker_general_ctx2048.log,
worker_general,gemma4-26b-a4b-q4_k_m,/mnt/raid0/llm/models/gemma-4-26B-A4B-it-Q4_K_M.gguf,8192,16384,q4_0,f16,no,ok,25616.4,26265.7,128.137,3195,443.53,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/worker_general_ctx8192.log,
architect_general,qwen3.5-122b-a10b-q4_k_m,/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-122B-A10B-GGUF/Q4_K_M/Qwen3.5-122B-A10B-Q4_K_M-00001-of-00003.gguf,2048,16384,q4_0,f16,no,ok,124312.3,124726.8,149.063,784,115.93,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/architect_general_ctx2048.log,
architect_general,qwen3.5-122b-a10b-q4_k_m,/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-122B-A10B-GGUF/Q4_K_M/Qwen3.5-122B-A10B-Q4_K_M-00001-of-00003.gguf,8192,16384,q4_0,f16,no,ok,124404.9,125161.1,149.063,3090,117.72,/mnt/raid0/llm/epyc-inference-research/data/dynamic_stack/ds_e1_kv_measurements_20260704T163852Z/logs/architect_general_ctx8192.log,
