0.02.863.607 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T0520Z-rebuilt/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.863.613 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.863.613 I =========================================================================================================================================================================
0.02.863.632 I    15	attn_k_b            	  84561.93	  0.1705	    93.3802	  6.88	  7.94	  100.00%	 12288	   12.9386	 95.24%	     10.90%	  0.4451
0.02.863.635 I    23	attn_k_b            	  68665.21	  0.3527	    69.5038	  5.59	  5.65	  100.00%	 12288	   13.0701	 96.21%	     11.13%	  0.5219
0.02.863.637 I    18	attn_k_b            	  61142.23	  0.2421	    60.9669	  4.98	  5.08	  100.00%	 12288	   13.0753	 96.25%	     10.16%	  0.4611
0.02.863.640 I    34	attn_k_b            	  57017.53	  0.5044	    30.1991	  4.64	  2.77	  100.00%	 12288	   13.3699	 98.42%	     12.19%	  0.7297
0.02.863.641 I    39	attn_k_b            	  56671.17	  0.4907	    56.4870	  4.61	  3.09	  100.00%	 12288	   13.3330	 98.15%	     11.21%	  0.7026
0.02.863.643 I    22	attn_k_b            	  56428.91	  0.1769	    81.7413	  4.59	  4.42	  100.00%	 12288	   13.1122	 96.52%	     11.05%	  0.4650
0.02.863.644 I    33	attn_k_b            	  53437.00	  0.6270	    38.1934	  4.35	  2.61	  100.00%	 12288	   13.3790	 98.48%	     11.88%	  0.7090
0.02.863.646 I    32	attn_k_b            	  51664.72	  0.4521	    37.2963	  4.20	  2.86	  100.00%	 12288	   13.3226	 98.07%	     11.99%	  0.6829
0.02.863.648 I    37	attn_k_b            	  51565.80	  0.8665	    31.5500	  4.20	  2.26	  100.00%	 12288	   13.4161	 98.76%	     11.66%	  0.7572
0.02.863.650 I    20	attn_k_b            	  51034.42	  0.3670	    49.4906	  4.15	  3.81	  100.00%	 12288	   13.1506	 96.80%	     11.47%	  0.4911
0.02.863.651 I    31	attn_k_b            	  48433.15	  0.6419	    34.5881	  3.94	  2.70	  100.00%	 12288	   13.3249	 98.09%	     11.42%	  0.6926
0.02.863.653 I    30	attn_k_b            	  48149.11	  0.4238	    31.5340	  3.92	  2.58	  100.00%	 12288	   13.3348	 98.16%	     12.09%	  0.6745
0.02.863.655 I    10	attn_k_b            	  46781.80	  0.0904	    56.6963	  3.81	  4.19	  100.00%	 12288	   13.0069	 95.74%	      9.31%	  0.3698
0.02.863.656 I    41	attn_k_b            	  45563.49	  0.4319	    41.5151	  3.71	  2.61	  100.00%	 12288	   13.3062	 97.95%	     11.66%	  0.6339
0.02.863.658 I    28	attn_k_b            	  45001.98	  0.3880	    43.3521	  3.66	  2.87	  100.00%	 12288	   13.2556	 97.58%	     11.49%	  0.6419
0.02.863.659 I     8	attn_k_b            	  44402.00	  0.0751	    52.9431	  3.61	  4.28	  100.00%	 12288	   12.9072	 95.01%	     10.95%	  0.2841
0.02.863.661 I    44	attn_k_b            	  44135.04	  0.5417	    33.7681	  3.59	  2.39	  100.00%	 12288	   13.3307	 98.13%	     11.75%	  0.7045
0.02.863.662 I    38	attn_k_b            	  43650.15	  0.5447	    29.8291	  3.55	  2.23	  100.00%	 12288	   13.3600	 98.34%	     11.75%	  0.7516
0.02.863.664 I    36	attn_k_b            	  43542.50	  0.3104	    28.0410	  3.54	  2.12	  100.00%	 12288	   13.3759	 98.46%	     11.74%	  0.7370
0.02.863.665 I    46	attn_k_b            	  43389.38	  0.4189	    40.2698	  3.53	  2.42	  100.00%	 12288	   13.3190	 98.04%	     11.66%	  0.7243
0.02.863.666 I    12	attn_k_b            	  43044.65	  0.1125	    47.4258	  3.50	  3.49	  100.00%	 12288	   13.0886	 96.35%	      9.89%	  0.4536
0.02.863.668 I    27	attn_k_b            	  42788.73	  0.2852	    32.7995	  3.48	  2.58	  100.00%	 12288	   13.2646	 97.64%	     12.62%	  0.6228
0.02.863.669 I    29	attn_k_b            	  42748.13	  0.2688	    29.7625	  3.48	  2.50	  100.00%	 12288	   13.2942	 97.86%	     11.53%	  0.6402
0.02.863.671 I    19	attn_k_b            	  42191.60	  0.1313	    48.3111	  3.43	  3.84	  100.00%	 12288	   12.9771	 95.53%	     10.64%	  0.4762
0.02.863.672 I    43	attn_k_b            	  40933.97	  0.4682	    24.2587	  3.33	  2.08	  100.00%	 12288	   13.3650	 98.38%	     11.68%	  0.7307
0.02.863.674 I    51	attn_k_b            	  39283.85	  0.4571	    25.8333	  3.20	  2.21	  100.00%	 12288	   13.3142	 98.01%	     11.63%	  0.6958
0.02.863.675 I    25	attn_k_b            	  38878.86	  0.1665	    32.1635	  3.16	  2.64	  100.00%	 12288	   13.2052	 97.20%	     11.52%	  0.5894
0.02.863.677 I    49	attn_k_b            	  38726.32	  0.3572	    35.0315	  3.15	  2.28	  100.00%	 12288	   13.2964	 97.88%	     11.64%	  0.6712
0.02.863.678 I    59	attn_k_b            	  38658.33	  0.3928	    41.4355	  3.15	  2.65	  100.00%	 12288	   13.2189	 97.31%	     11.15%	  0.5737
0.02.863.680 I    40	attn_k_b            	  38333.79	  0.3450	    30.6887	  3.12	  2.55	  100.00%	 12288	   13.2385	 97.45%	     11.02%	  0.6539
0.02.863.682 I    56	attn_k_b            	  38189.54	  0.4000	    45.0059	  3.11	  2.76	  100.00%	 12288	   13.1828	 97.04%	     11.17%	  0.5865
0.02.863.684 I    42	attn_k_b            	  38120.27	  0.5028	    25.6798	  3.10	  1.80	  100.00%	 12288	   13.3874	 98.55%	     12.07%	  0.7048
0.02.863.696 I    17	attn_k_b            	  37785.29	  0.0860	    45.4408	  3.07	  3.59	  100.00%	 12288	   12.9405	 95.26%	     10.40%	  0.3439
0.02.863.699 I    62	attn_k_b            	  36993.88	  0.2865	    37.9683	  3.01	  2.78	  100.00%	 12288	   13.1485	 96.79%	     11.36%	  0.5616
0.02.863.701 I    35	attn_k_b            	  36812.49	  0.4615	    37.2459	  3.00	  1.77	  100.00%	 12288	   13.3845	 98.52%	     11.70%	  0.7421
0.02.863.702 I    45	attn_k_b            	  36748.86	  0.6080	    25.4624	  2.99	  1.64	  100.00%	 12288	   13.4099	 98.71%	     11.70%	  0.7243
0.02.863.704 I    68	attn_k_b            	  35794.03	  0.2423	    44.4831	  2.91	  2.71	  100.00%	 12288	   13.1636	 96.90%	     10.25%	  0.5531
0.02.863.705 I    24	attn_k_b            	  35092.87	  0.2219	    47.6815	  2.86	  2.41	  100.00%	 12288	   13.2305	 97.39%	     10.14%	  0.5288
0.02.863.707 I    52	attn_k_b            	  34871.91	  0.3266	    26.6480	  2.84	  1.93	  100.00%	 12288	   13.3183	 98.04%	     11.29%	  0.6818
0.02.863.708 I    47	attn_k_b            	  34296.16	  0.3840	    44.6765	  2.79	  1.67	  100.00%	 12288	   13.3959	 98.61%	     10.18%	  0.7173
0.02.863.710 I    11	attn_k_b            	  34238.83	  0.0491	    71.0527	  2.79	  3.40	  100.00%	 12288	   12.9429	 95.27%	      8.29%	  0.4130
0.02.863.712 I    26	attn_k_b            	  34081.70	  0.1607	    38.1163	  2.77	  2.24	  100.00%	 12288	   13.2363	 97.43%	     11.17%	  0.5985
0.02.863.713 I    63	attn_k_b            	  34032.66	  0.2861	    36.7538	  2.77	  2.54	  100.00%	 12288	   13.1439	 96.75%	     11.47%	  0.5402
0.02.863.715 I    54	attn_k_b            	  32513.64	  0.3828	    42.0686	  2.65	  1.87	  100.00%	 12288	   13.3199	 98.05%	     11.35%	  0.6259
0.02.863.716 I    16	attn_k_b            	  32306.74	  0.0217	    74.1245	  2.63	  3.75	  100.00%	 12288	   12.7188	 93.62%	      9.67%	  0.3643
0.02.863.718 I    21	attn_k_b            	  31826.83	  0.1521	    37.2747	  2.59	  3.08	  100.00%	 12288	   12.9157	 95.07%	     10.71%	  0.4712
0.02.863.720 I    64	attn_k_b            	  31248.69	  0.2169	    22.2059	  2.54	  2.16	  100.00%	 12288	   13.2031	 97.19%	     10.98%	  0.5715
0.02.863.721 I    50	attn_k_b            	  30396.25	  0.4279	    20.3317	  2.47	  1.50	  100.00%	 12288	   13.3785	 98.48%	     11.45%	  0.6943
0.02.863.723 I    14	attn_k_b            	  30058.75	  0.0931	    45.5291	  2.45	  2.59	  100.00%	 12288	   13.0663	 96.18%	      9.34%	  0.4240
0.02.863.724 I    60	attn_k_b            	  29724.44	  0.3442	    22.7215	  2.42	  1.90	  100.00%	 12288	   13.2541	 97.56%	     11.18%	  0.5850
0.02.863.726 I    13	attn_k_b            	  29610.23	  0.0266	    45.5160	  2.41	  3.08	  100.00%	 12288	   12.8524	 94.61%	      9.55%	  0.4592
0.02.863.728 I    53	attn_k_b            	  29487.35	  0.3378	    25.4403	  2.40	  1.91	  100.00%	 12288	   13.2546	 97.57%	     11.23%	  0.6486
0.02.863.730 I    61	attn_k_b            	  29394.32	  0.2621	    32.9641	  2.39	  2.08	  100.00%	 12288	   13.2061	 97.21%	     10.61%	  0.5959
0.02.863.731 I    65	attn_k_b            	  29160.15	  0.2408	    28.4874	  2.37	  1.65	  100.00%	 12288	   13.3196	 98.05%	     11.08%	  0.6277
0.02.863.733 I    55	attn_k_b            	  27443.39	  0.2653	    22.1593	  2.23	  1.74	  100.00%	 12288	   13.2598	 97.61%	     11.80%	  0.6391
0.02.863.734 I    57	attn_k_b            	  27269.24	  0.3065	    39.4152	  2.22	  1.94	  100.00%	 12288	   13.2258	 97.36%	      9.27%	  0.5686
0.02.863.736 I    71	attn_k_b            	  26758.48	  0.2752	    36.4108	  2.18	  2.19	  100.00%	 12288	   13.1073	 96.48%	     10.26%	  0.4866
0.02.863.737 I    48	attn_k_b            	  25587.81	  0.3043	    15.8335	  2.08	  1.41	  100.00%	 12288	   13.3294	 98.12%	     11.78%	  0.7077
0.02.863.739 I    73	attn_k_b            	  23237.41	  0.2201	    38.2872	  1.89	  1.89	  100.00%	 12288	   13.1083	 96.49%	     10.53%	  0.4961
0.02.863.740 I    76	attn_k_b            	  23175.19	  0.1735	    75.7984	  1.89	  2.16	  100.00%	 12288	   13.0666	 96.18%	      8.56%	  0.4470
0.02.863.742 I    70	attn_k_b            	  22200.05	  0.2059	    42.9003	  1.81	  1.86	  100.00%	 12288	   13.1154	 96.54%	      9.58%	  0.5683
0.02.863.744 I     9	attn_k_b            	  21996.14	  0.0070	    40.0433	  1.79	  2.62	  100.00%	 12288	   12.6904	 93.41%	      8.64%	  0.3572
0.02.863.745 I    58	attn_k_b            	  19064.75	  0.1670	    30.3222	  1.55	  1.35	  100.00%	 12288	   13.2372	 97.44%	      9.15%	  0.5787
0.02.863.747 I    72	attn_k_b            	  18195.60	  0.1532	    22.2775	  1.48	  1.52	  100.00%	 12288	   13.0939	 96.39%	      9.69%	  0.4745
0.02.863.748 I    67	attn_k_b            	  18019.74	  0.2232	    28.3691	  1.47	  1.42	  100.00%	 12288	   13.1962	 97.14%	      8.26%	  0.5556
