0.02.973.409 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T-production-representative/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.973.414 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.973.414 I =========================================================================================================================================================================
0.02.973.435 I    15	attn_k_b            	  92369.01	  0.3178	   108.1282	  7.52	  8.47	  100.00%	 12288	   12.9744	 95.51%	     10.75%	  0.4541
0.02.973.438 I    23	attn_k_b            	  72829.18	  0.4598	    82.3038	  5.93	  5.63	  100.00%	 12288	   13.1287	 96.64%	     10.93%	  0.5414
0.02.973.440 I    18	attn_k_b            	  66952.53	  0.4692	    71.4462	  5.45	  5.37	  100.00%	 12288	   13.1256	 96.62%	      9.60%	  0.4703
0.02.973.442 I    22	attn_k_b            	  63673.11	  0.2680	    92.3777	  5.18	  4.73	  100.00%	 12288	   13.1617	 96.88%	     10.95%	  0.4634
0.02.973.444 I    39	attn_k_b            	  58589.73	  0.6805	    45.8172	  4.77	  2.89	  100.00%	 12288	   13.3705	 98.42%	     10.97%	  0.7553
0.02.973.445 I    20	attn_k_b            	  57391.97	  0.4432	    63.0904	  4.67	  3.97	  100.00%	 12288	   13.2125	 97.26%	     11.25%	  0.5069
0.02.973.446 I    34	attn_k_b            	  56575.85	  0.6685	    26.7201	  4.60	  2.27	  100.00%	 12288	   13.4307	 98.86%	     11.98%	  0.8041
0.02.973.448 I    33	attn_k_b            	  53514.73	  1.1101	    28.4003	  4.36	  2.05	  100.00%	 12288	   13.4550	 99.04%	     11.29%	  0.7723
0.02.973.450 I    10	attn_k_b            	  49967.79	  0.1328	    52.7573	  4.07	  4.22	  100.00%	 12288	   13.0612	 96.14%	      9.33%	  0.3755
0.02.973.452 I    37	attn_k_b            	  49773.88	  1.2342	    20.8518	  4.05	  1.59	  100.00%	 12288	   13.4892	 99.30%	     12.20%	  0.8331
0.02.973.453 I    31	attn_k_b            	  49276.86	  0.9577	    25.3114	  4.01	  2.13	  100.00%	 12288	   13.4192	 98.78%	     12.24%	  0.7683
0.02.973.455 I    32	attn_k_b            	  49173.82	  0.6255	    29.7026	  4.00	  2.39	  100.00%	 12288	   13.3831	 98.51%	     11.65%	  0.7581
0.02.973.456 I    19	attn_k_b            	  49164.18	  0.1678	    69.6815	  4.00	  4.40	  100.00%	 12288	   13.0030	 95.72%	     10.52%	  0.4853
0.02.973.458 I    12	attn_k_b            	  47510.52	  0.2111	    50.0664	  3.87	  3.61	  100.00%	 12288	   13.1395	 96.72%	      9.21%	  0.4821
0.02.973.459 I    30	attn_k_b            	  47064.45	  0.5395	    48.4375	  3.83	  2.20	  100.00%	 12288	   13.4003	 98.64%	     11.30%	  0.7276
0.02.973.461 I    27	attn_k_b            	  46868.70	  0.4292	    34.9452	  3.81	  2.56	  100.00%	 12288	   13.3136	 98.00%	     12.87%	  0.6631
0.02.973.462 I     8	attn_k_b            	  46360.39	  0.0868	    54.5723	  3.77	  4.34	  100.00%	 12288	   12.9532	 95.35%	     10.71%	  0.2966
0.02.973.464 I    28	attn_k_b            	  45839.17	  0.6035	    56.5979	  3.73	  2.57	  100.00%	 12288	   13.3325	 98.14%	     10.54%	  0.6884
0.02.973.465 I    29	attn_k_b            	  45323.23	  0.3107	    35.6621	  3.69	  2.39	  100.00%	 12288	   13.3480	 98.26%	     11.60%	  0.6893
0.02.973.467 I    17	attn_k_b            	  43965.40	  0.0968	    52.1538	  3.58	  4.09	  100.00%	 12288	   12.9722	 95.49%	     10.20%	  0.3539
0.02.973.468 I    41	attn_k_b            	  43554.81	  0.6292	    37.0997	  3.54	  2.26	  100.00%	 12288	   13.3549	 98.31%	     11.31%	  0.6787
0.02.973.470 I    46	attn_k_b            	  42916.66	  0.5350	    38.5972	  3.49	  2.22	  100.00%	 12288	   13.3528	 98.29%	     11.65%	  0.7640
0.02.973.471 I    38	attn_k_b            	  42839.14	  0.6848	    21.0737	  3.49	  1.82	  100.00%	 12288	   13.4199	 98.78%	     12.04%	  0.8329
0.02.973.473 I    25	attn_k_b            	  42362.08	  0.2297	    60.3172	  3.45	  2.77	  100.00%	 12288	   13.2396	 97.46%	     11.09%	  0.5982
0.02.973.474 I    44	attn_k_b            	  42176.27	  0.7328	    35.2266	  3.43	  2.12	  100.00%	 12288	   13.3671	 98.40%	     11.04%	  0.7573
0.02.973.475 I    36	attn_k_b            	  40965.85	  0.3670	    27.8050	  3.33	  1.68	  100.00%	 12288	   13.4317	 98.87%	     11.74%	  0.7822
0.02.973.477 I    16	attn_k_b            	  39053.77	  0.0201	    92.5716	  3.18	  4.47	  100.00%	 12288	   12.7432	 93.80%	      9.29%	  0.3750
