variant,request_idx,tokens_generated,wall_ms,decode_tps
q4km_numa_q0a,0,128,10673,12.50
q4km_numa_q0b,0,128,10103,13.25
q4km_numa_q1a,0,128,9421,14.25
q4km_numa_q1b,0,128,9626,13.92
q4km_numa_q0a,1,128,15138,8.76
q4km_numa_q0b,1,128,14642,9.29
q4km_numa_q1a,1,128,13066,10.21
q4km_numa_q1b,1,128,13220,10.08
q4km_numa_q0a,2,128,15666,8.48
q4km_numa_q0b,2,128,14554,9.08
q4km_numa_q1a,2,128,13218,10.02
q4km_numa_q1b,2,128,13387,9.89
q4km_numa_q0a,3,128,14055,9.41
q4km_numa_q0b,3,128,13291,9.95
q4km_numa_q1a,3,128,12271,10.80
q4km_numa_q1b,3,128,12178,10.87
q4km_numa_q0a,4,128,11643,11.38
q4km_numa_q0b,4,128,11085,11.97
q4km_numa_q1a,4,128,10365,12.83
q4km_numa_q1b,4,128,10373,12.81
q8_single,0,128,8111,16.37
q8_single,1,128,12389,10.60
q8_single,2,128,10973,12.02
q8_single,3,128,10543,12.49
q8_single,4,128,10076,13.08
q8_single,5,128,8129,16.35
q8_single,6,128,12293,10.67
q8_single,7,128,10893,12.08
q8_single,8,128,10710,12.28
q8_single,9,128,10172,12.95
q8_numa_q0a,0,128,13456,9.98
q8_numa_q0b,0,128,12632,10.60
q8_numa_q1a,0,128,13434,9.99
q8_numa_q1b,0,128,12733,10.52
q8_numa_q0a,1,128,19426,6.82
q8_numa_q0b,1,128,18080,7.34
q8_numa_q1a,1,128,18877,7.03
q8_numa_q1b,1,128,18335,7.24
q8_numa_q0a,2,128,17226,7.70
q8_numa_q0b,2,128,15910,8.35
q8_numa_q1a,2,128,16613,7.98
q8_numa_q1b,2,128,16172,8.20
q8_numa_q0a,3,128,16838,7.87
q8_numa_q0b,3,128,15616,8.50
q8_numa_q1a,3,128,16337,8.12
q8_numa_q1b,3,128,15869,8.36
q8_numa_q0a,4,128,16301,8.17
q8_numa_q0b,4,128,14998,8.87
q8_numa_q1a,4,128,15698,8.46
q8_numa_q1b,4,128,15211,8.73
f16_single,0,128,9169,14.49
f16_single,1,128,15159,8.64
f16_single,2,128,12835,10.25
f16_single,3,128,14195,9.24
f16_single,4,128,13113,10.02
f16_single,5,128,9182,14.48
f16_single,6,128,15142,8.65
f16_single,7,128,12813,10.26
f16_single,8,128,14057,9.32
f16_single,9,128,13102,10.02
