0.00.065.274 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.067.202 W srv  llama_server: -----------------
0.00.067.203 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.067.203 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.067.203 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.067.204 W srv  llama_server: -----------------
0.00.068.486 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.6-27B-MTP-Q8_0.gguf'
0.08.755.590 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 262144, kv_unified = 'true'
0.08.768.610 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.768.677 I srv  llama_server: model loaded
0.08.768.682 I srv  llama_server: listening on http://127.0.0.1:8801
1.13.750.497 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.13.750.540 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
1.17.117.778 I slot print_timing: id  3 | task 2 | n_decoded =    100, tg =  31.13 t/s, tg_3s =  31.13 t/s
1.20.123.327 I slot print_timing: id  3 | task 2 | n_decoded =    193, tg =  31.04 t/s, tg_3s =  30.94 t/s
1.22.179.247 I slot print_timing: id  3 | task 2 | prompt eval time =     154.91 ms /    18 tokens (    8.61 ms per token,   116.20 tokens per second)
1.22.179.251 I slot print_timing: id  3 | task 2 |        eval time =    8273.40 ms /   256 tokens (   32.32 ms per token,    30.94 tokens per second)
1.22.179.251 I slot print_timing: id  3 | task 2 |       total time =    8428.31 ms /   274 tokens
1.22.179.257 I slot print_timing: id  3 | task 2 |    graphs reused =        254
1.22.179.292 I slot      release: id  3 | task 2 | stop processing: n_tokens = 273, truncated = 0
1.37.627.943 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.37.627.972 I slot launch_slot_: id  2 | task 261 | processing task, is_child = 0
