model,quant,size_gb,threads,tokens_generated,time_ms,tokens_per_sec
Qwen3.5-9B,Q4_K_M,5.3G,96,128,10705,11.96
Qwen3.5-9B,Q4_K_M,5.3G,96,128,10236,12.50
Qwen3.5-9B,Q6_K,7.0G,96,0,20,0.00
Qwen3.5-9B,Q6_K,7.0G,96,128,11400,11.23
Qwen3.5-9B,Q8_0,8.9G,96,128,14018,9.13
Qwen3.5-9B,Q8_0,8.9G,96,128,21696,5.90
Qwen3.5-27B,Q4_K_M,16G,96,128,10340,12.38
Qwen3.5-27B,Q4_K_M,16G,96,0,19,0.00
Qwen3.5-27B,Q6_K,21G,96,128,16393,7.81
Qwen3.5-27B,Q6_K,21G,96,128,11826,10.82
Qwen3.5-35B-A3B,Q4_K_M,19G,96,128,10423,12.28
Qwen3.5-35B-A3B,Q4_K_M,19G,96,128,12156,10.53
Qwen3.5-35B-A3B,Q8_0,35G,96,0,22,0.00
Qwen3.5-35B-A3B,Q8_0,35G,96,128,13544,9.45
