"backend_name","op_name","op_params","test_mode","supported","error_message","backend_reg_name"
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=1,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=16,head_size=64,n_seq_tokens=1,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=1,n_seqs=1,v_repeat=1,permuted=0,kda=1,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=64,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=256,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=512,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=1024,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=4,head_size=128,n_seq_tokens=64,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=4,head_size=128,n_seq_tokens=256,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=4,head_size=128,n_seq_tokens=512,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=4,head_size=128,n_seq_tokens=1024,n_seqs=1,v_repeat=1,permuted=0,kda=0,K=1","perf","1","",""
"ROCm0","GATED_DELTA_NET","type=f32,head_count=32,head_size=128,n_seq_tokens=64,n_seqs=1,v_repeat=1,permuted=0,kda=1,K=1","perf","1","",""
