0.00.035.948 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.284 W srv  llama_server: -----------------
0.00.036.286 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.286 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.287 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.287 W srv  llama_server: -----------------
0.00.037.552 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.6-35B-A3B-MTP-Q8_0.gguf'
0.05.869.197 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.05.879.674 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.879.715 I srv  llama_server: model loaded
0.05.879.719 I srv  llama_server: listening on http://127.0.0.1:19320
0.06.159.322 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.159.387 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.315.641 I slot print_timing: id  0 | task 0 | n_decoded =    307, tg = 102.23 t/s, tg_3s = 102.23 t/s
0.12.322.395 I slot print_timing: id  0 | task 0 | n_decoded =    613, tg = 102.00 t/s, tg_3s = 101.77 t/s
0.15.329.603 I slot print_timing: id  0 | task 0 | n_decoded =    918, tg = 101.81 t/s, tg_3s = 101.42 t/s
0.16.383.107 I slot print_timing: id  0 | task 0 | prompt eval time =     153.32 ms /    39 tokens (    3.93 ms per token,   254.36 tokens per second)
0.16.383.109 I slot print_timing: id  0 | task 0 |        eval time =   10070.37 ms /  1024 tokens (    9.83 ms per token,   101.68 tokens per second)
0.16.383.110 I slot print_timing: id  0 | task 0 |       total time =   10223.70 ms /  1063 tokens
0.16.383.115 I slot print_timing: id  0 | task 0 |    graphs reused =       1019
0.16.383.214 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1062, truncated = 0
0.16.566.402 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.744 (> 0.100 thold), f_keep = 0.027
0.16.587.150 I slot launch_slot_: id  0 | task 1026 | processing task, is_child = 0
0.19.706.652 I slot print_timing: id  0 | task 1026 | n_decoded =    308, tg = 102.40 t/s, tg_3s = 102.40 t/s
0.22.711.911 I slot print_timing: id  0 | task 1026 | n_decoded =    614, tg = 102.11 t/s, tg_3s = 101.82 t/s
0.25.718.751 I slot print_timing: id  0 | task 1026 | n_decoded =    920, tg = 101.99 t/s, tg_3s = 101.77 t/s
0.26.754.144 I slot print_timing: id  0 | task 1026 | prompt eval time =     111.53 ms /    39 tokens (    2.86 ms per token,   349.68 tokens per second)
0.26.754.147 I slot print_timing: id  0 | task 1026 |        eval time =   10055.45 ms /  1024 tokens (    9.82 ms per token,   101.84 tokens per second)
0.26.754.147 I slot print_timing: id  0 | task 1026 |       total time =   10166.98 ms /  1063 tokens
0.26.754.148 I slot print_timing: id  0 | task 1026 |    graphs reused =       2037
0.26.754.228 I slot      release: id  0 | task 1026 | stop processing: n_tokens = 1062, truncated = 0
0.29.028.863 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.725 (> 0.100 thold), f_keep = 0.027
