config,ctk,ctv,hadamard,rep,tokens,time_ms,gen_tps,prompt_tps,rss_mb,kv_mb
f16_baseline,f16,f16,no,1,256,22691,11.44,115.80,20045.8,1024.00
f16_baseline,f16,f16,no,2,256,22460,11.44,11.43,20045.8,1024.00
f16_baseline,f16,f16,no,3,256,22418,11.46,11.37,20045.8,1024.00
q4_plain,q4_0,q4_0,no,1,256,22314,11.64,117.83,19310.0,288.00
q4_plain,q4_0,q4_0,no,2,256,22303,11.52,11.51,19310.0,288.00
q4_plain,q4_0,q4_0,no,3,256,22167,11.59,11.64,19310.0,288.00
q8k_q4v_plain,q8_0,q4_0,no,1,256,22443,11.57,117.51,19438.0,416.00
q8k_q4v_plain,q8_0,q4_0,no,2,256,22132,11.61,11.44,19438.0,416.00
q8k_q4v_plain,q8_0,q4_0,no,3,256,22016,11.67,11.66,19438.0,416.00
q4_hadamard,q4_0,q4_0,yes,1,256,22541,11.52,116.54,19310.0,288.00
q4_hadamard,q4_0,q4_0,yes,2,256,22137,11.61,11.54,19310.0,288.00
q4_hadamard,q4_0,q4_0,yes,3,256,22137,11.61,11.71,19310.0,288.00
q8k_q4v_hadamard,q8_0,q4_0,yes,1,256,22524,11.53,116.09,19437.4,416.00
q8k_q4v_hadamard,q8_0,q4_0,yes,2,256,22216,11.57,11.60,19437.4,416.00
q8k_q4v_hadamard,q8_0,q4_0,yes,3,256,22217,11.57,11.68,19437.4,416.00
