model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q25-coder-32B,f16_f16,f16,f16,16384,generation,256,61,29681,8.73,103.91,37266.9,4096.00
q25-coder-32B,f16_f16,f16,f16,16384,prefill,32,9797,92364,7.23,111.14,38270.1,4096.00
q25-coder-32B,f16_f16,f16,f16,16384,generation_rep2,256,61,29719,8.72,105.88,40727.3,4096.00
q25-coder-32B,f16_f16,f16,f16,16384,generation_rep3,256,61,29362,8.75,8.81,40727.4,4096.00
q25-coder-32B,q8_q8,q8_0,q8_0,16384,generation,256,61,30178,8.58,104.59,35345.5,2176.00
q25-coder-32B,q8_q8,q8_0,q8_0,16384,prefill,32,9797,296425,3.45,34.03,36313.1,2176.00
q25-coder-32B,q8_q8,q8_0,q8_0,16384,generation_rep2,256,61,30377,8.53,105.04,37618.6,2176.00
q25-coder-32B,q8_q8,q8_0,q8_0,16384,generation_rep3,256,61,29910,8.59,8.65,37618.6,2176.00
q25-coder-32B,q8_q4,q8_0,q4_0,16384,generation,256,61,35437,7.30,104.48,34865.6,1664.00
q25-coder-32B,q8_q4,q8_0,q4_0,16384,prefill,32,9797,207847,4.02,48.89,35795.9,1664.00
q25-coder-32B,q8_q4,q8_0,q4_0,16384,generation_rep2,256,61,30091,8.61,104.91,36794.3,1664.00
q25-coder-32B,q8_q4,q8_0,q4_0,16384,generation_rep3,256,61,29861,8.61,8.79,36794.3,1664.00
q25-coder-32B,q4_q4,q4_0,q4_0,16384,generation,256,61,29510,8.78,104.27,34321.3,1152.00
q25-coder-32B,q4_q4,q4_0,q4_0,16384,prefill,32,9797,216985,4.46,46.58,35269.2,1152.00
q25-coder-32B,q4_q4,q4_0,q4_0,16384,generation_rep2,256,61,29722,8.71,108.61,35960.4,1152.00
q25-coder-32B,q4_q4,q4_0,q4_0,16384,generation_rep3,256,61,29235,8.79,8.15,35960.5,1152.00
