round,instance,port,completion_tokens,wall_seconds,tokens_per_sec
1,1,8198,512,31.667,16.17
1,3,8196,512,36.441,14.05
1,2,8197,512,38.170,13.41
1,0,8199,512,42.559,12.03
2,3,8196,512,29.358,17.44
2,1,8198,512,34.726,14.74
2,2,8197,512,38.550,13.28
2,0,8199,512,41.740,12.27
3,3,8196,512,49.399,10.36
3,1,8198,512,50.265,10.19
3,2,8197,512,57.323,8.93
3,0,8199,512,64.699,7.91
4,1,8198,512,56.393,9.08
4,3,8196,512,58.467,8.76
4,2,8197,512,63.206,8.10
4,0,8199,512,66.321,7.72
5,3,8196,512,49.406,10.36
5,1,8198,512,54.010,9.48
5,2,8197,512,55.926,9.16
5,0,8199,512,62.431,8.20
6,1,8198,512,46.515,11.01
6,3,8196,512,51.106,10.02
6,0,8199,512,57.893,8.84
6,2,8197,512,60.753,8.43
7,3,8196,512,48.229,10.62
7,1,8198,512,53.338,9.60
7,0,8199,512,60.938,8.40
7,2,8197,512,61.741,8.29
8,1,8198,512,48.486,10.56
8,3,8196,512,56.752,9.02
8,0,8199,512,57.281,8.94
8,2,8197,512,64.153,7.98
