config,run,completion_tokens,wall_seconds,tokens_per_sec
192t_interleave,1,512,26.865,19.05
192t_interleave,2,512,23.817,21.49
192t_interleave,3,512,20.593,24.86
192t_interleave,4,512,29.745,17.21
192t_interleave,5,512,23.695,21.60
192t_interleave,6,512,30.506,16.78
192t_interleave,7,512,27.039,18.93
192t_interleave,8,512,26.935,19.00
192t_interleave,9,512,30.679,16.68
192t_interleave,10,512,28.507,17.96
96t_node0,1,512,13.077,39.15
96t_node0,2,512,13.090,39.11
96t_node0,3,512,13.089,39.11
96t_node0,4,512,13.914,36.79
96t_node0,5,512,13.198,38.79
96t_node0,6,512,13.067,39.18
96t_node0,7,512,13.113,39.04
96t_node0,8,512,13.064,39.19
96t_node0,9,512,13.119,39.02
96t_node0,10,512,13.794,37.11
48t_Q0A,1,512,12.458,41.09
48t_Q0A,2,512,12.657,40.45
48t_Q0A,3,512,12.456,41.10
48t_Q0A,4,512,12.434,41.17
48t_Q0A,5,512,12.448,41.13
48t_Q0A,6,512,12.463,41.08
48t_Q0A,7,512,13.316,38.44
48t_Q0A,8,512,12.628,40.54
48t_Q0A,9,512,12.503,40.95
48t_Q0A,10,512,12.942,39.56
