0.00.035.798 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.133 W srv  llama_server: -----------------
0.00.036.135 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.135 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.135 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.135 W srv  llama_server: -----------------
0.00.037.340 I srv    load_model: loading model '/mnt/raid0/llm/models/Nemotron-Nano-9B-v2-GGUF/nvidia_NVIDIA-Nemotron-Nano-9B-v2-Q8_0.gguf'
0.00.502.610 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.01.921.294 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.925.225 I srv  llama_server: model loaded
0.01.925.230 I srv  llama_server: listening on http://127.0.0.1:19123
0.02.024.784 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.024.990 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.02.150.867 I slot print_timing: id  3 | task 0 | prompt eval time =      96.83 ms /    31 tokens (    3.12 ms per token,   320.14 tokens per second)
0.02.150.871 I slot print_timing: id  3 | task 0 |        eval time =      28.99 ms /     3 tokens (    9.66 ms per token,   103.48 tokens per second)
0.02.150.871 I slot print_timing: id  3 | task 0 |       total time =     125.83 ms /    34 tokens
0.02.150.875 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.02.150.959 I slot      release: id  3 | task 0 | stop processing: n_tokens = 33, truncated = 0
0.02.154.361 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.478 (> 0.100 thold), f_keep = 0.667
0.02.154.494 I slot launch_slot_: id  3 | task 6 | processing task, is_child = 0
0.02.376.730 I slot print_timing: id  3 | task 6 | prompt eval time =      96.03 ms /    29 tokens (    3.31 ms per token,   302.00 tokens per second)
0.02.376.734 I slot print_timing: id  3 | task 6 |        eval time =     126.19 ms /    11 tokens (   11.47 ms per token,    87.17 tokens per second)
0.02.376.734 I slot print_timing: id  3 | task 6 |       total time =     222.21 ms /    40 tokens
0.02.376.735 I slot print_timing: id  3 | task 6 |    graphs reused =         11
0.02.376.805 I slot      release: id  3 | task 6 | stop processing: n_tokens = 56, truncated = 0
0.02.380.881 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.488 (> 0.100 thold), f_keep = 0.357
0.02.440.894 I slot launch_slot_: id  3 | task 19 | processing task, is_child = 0
0.02.576.573 I slot print_timing: id  3 | task 19 | prompt eval time =      95.19 ms /    24 tokens (    3.97 ms per token,   252.12 tokens per second)
0.02.576.576 I slot print_timing: id  3 | task 19 |        eval time =      40.45 ms /     4 tokens (   10.11 ms per token,    98.88 tokens per second)
0.02.576.577 I slot print_timing: id  3 | task 19 |       total time =     135.65 ms /    28 tokens
0.02.576.577 I slot print_timing: id  3 | task 19 |    graphs reused =         13
0.02.576.648 I slot      release: id  3 | task 19 | stop processing: n_tokens = 44, truncated = 0
0.02.580.252 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.444 (> 0.100 thold), f_keep = 0.455
0.02.640.400 I slot launch_slot_: id  3 | task 25 | processing task, is_child = 0
0.04.846.321 I slot print_timing: id  3 | task 25 | prompt eval time =      96.37 ms /    28 tokens (    3.44 ms per token,   290.54 tokens per second)
0.04.846.325 I slot print_timing: id  3 | task 25 |        eval time =    2109.52 ms /   174 tokens (   12.12 ms per token,    82.48 tokens per second)
0.04.846.325 I slot print_timing: id  3 | task 25 |       total time =    2205.89 ms /   202 tokens
0.04.846.326 I slot print_timing: id  3 | task 25 |    graphs reused =        185
0.04.846.350 I slot      release: id  3 | task 25 | stop processing: n_tokens = 218, truncated = 0
0.04.850.661 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.04.863.485 I slot launch_slot_: id  2 | task 201 | processing task, is_child = 0
0.07.538.642 I slot print_timing: id  2 | task 201 | prompt eval time =     204.30 ms /   207 tokens (    0.99 ms per token,  1013.20 tokens per second)
0.07.538.645 I slot print_timing: id  2 | task 201 |        eval time =    2404.69 ms /   197 tokens (   12.21 ms per token,    81.92 tokens per second)
0.07.538.646 I slot print_timing: id  2 | task 201 |       total time =    2608.99 ms /   404 tokens
0.07.538.647 I slot print_timing: id  2 | task 201 |    graphs reused =        379
0.07.538.717 I slot      release: id  2 | task 201 | stop processing: n_tokens = 420, truncated = 0
0.07.539.490 I srv    operator(): operator(): cleaning up before exit...
