config,instance,threads,cpu_binding,prompt_idx,tokens_generated,time_ms,tokens_per_sec
E,q0a,48,node0a,0,256,19967,12.82
E,q0a,48,node0a,1,256,19927,12.85
E,q0a,48,node0a,2,0,148370,0.00
E,q0a,48,node0a,3,0,21,0.00
F,q0a,48,node0a,0,256,20663,12.39
F,q0b,48,node0b,0,256,20520,12.48
F,q1a,48,node1a,0,256,19953,12.83
F,q1b,48,node1b,0,256,20207,12.67
F,q0a,48,node0a,1,256,20192,12.68
F,q0b,48,node0b,1,256,20114,12.73
F,q1a,48,node1a,1,256,19992,12.81
F,q1b,48,node1b,1,256,20494,12.49
F,q0a,48,node0a,2,0,153925,0.00
F,q0b,48,node0b,2,0,2924,0.00
F,q1a,48,node1a,2,0,2333,0.00
F,q1b,48,node1b,2,0,2640,0.00
F,q0a,48,node0a,3,0,20,0.00
F,q0b,48,node0b,3,0,20,0.00
F,q1a,48,node1a,3,0,18,0.00
F,q1b,48,node1b,3,0,18,0.00
