model,draft_max,prompt_idx,tokens_generated,time_ms,tokens_per_sec
baseline,0,0,256,18387,13.92
baseline,0,1,256,18461,13.87
baseline,0,2,256,18469,13.86
ngram_dm16,16,0,256,18255,14.02
ngram_dm16,16,1,256,18457,13.87
ngram_dm16,16,2,256,18401,13.91
ngram_dm32,32,0,256,18354,13.95
ngram_dm32,32,1,256,18325,13.97
ngram_dm32,32,2,256,18321,13.97
ngram_dm48,48,0,256,18256,14.02
ngram_dm48,48,1,256,18260,14.02
ngram_dm48,48,2,256,18273,14.01
ngram_dm64,64,0,256,18195,14.07
ngram_dm64,64,1,256,18235,14.04
ngram_dm64,64,2,256,18216,14.05
ngram_dm96,96,0,256,18222,14.05
ngram_dm96,96,1,256,18291,14.00
ngram_dm96,96,2,256,18313,13.98
ngram_dm128,128,0,256,18216,14.05
ngram_dm128,128,1,256,18239,14.04
ngram_dm128,128,2,256,18223,14.05
