config,instance,threads,cpu_binding,prompt_idx,tokens_generated,time_ms,tokens_per_sec
C,node0,96,node0,0,256,18904,13.54
C,node1,96,node1,0,256,22608,11.32
C,node0,96,node0,1,256,19192,13.34
C,node1,96,node1,1,256,22826,11.22
C,node0,96,node0,2,256,19197,13.34
C,node1,96,node1,2,256,22326,11.47
C,node0,96,node0,3,256,19798,12.93
C,node1,96,node1,3,256,22165,11.55
C_conc,node0,96,node0,0,256,27381,9.35
C_conc,node1,96,node1,0,256,25520,10.03
D,q0a,48,node0a,0,256,19186,13.34
D,q0b,48,node0b,0,256,18783,13.63
D,q1a,48,node1a,0,256,22625,11.31
D,q1b,48,node1b,0,256,22165,11.55
D,q0a,48,node0a,1,256,19362,13.22
D,q0b,48,node0b,1,256,18665,13.72
D,q1a,48,node1a,1,256,22141,11.56
D,q1b,48,node1b,1,256,22383,11.44
D,q0a,48,node0a,2,256,19497,13.13
D,q0b,48,node0b,2,256,19029,13.45
D,q1a,48,node1a,2,256,22181,11.54
D,q1b,48,node1b,2,256,22387,11.44
D,q0a,48,node0a,3,256,19566,13.08
D,q0b,48,node0b,3,256,19097,13.41
D,q1a,48,node1a,3,256,22435,11.41
D,q1b,48,node1b,3,256,22483,11.39
