model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,0,256,10414,24.58
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,1,256,10358,24.72
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,2,256,10318,24.81
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,0,256,10628,24.09
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,1,256,10618,24.11
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,2,256,10700,23.93
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,0,0,22,0.00
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,0,0,20,0.00
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,1,0,20,0.00
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,1,0,18,0.00
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,2,0,18,0.00
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,2,0,19,0.00
