model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
q35-27B,A_192t,1,192,all,no_spec,0,256,20870,12.27
q35-27B,A_192t,1,192,all,no_spec,1,0,25,0.00
q35-27B,A_192t,1,192,all,no_spec,2,256,20790,12.31
q35-27B,B_96t,1,96,0-47,96-143,no_spec,0,256,25727,9.95
q35-27B,B_96t,1,96,0-47,96-143,no_spec,1,256,20311,12.60
q35-27B,B_96t,1,96,0-47,96-143,no_spec,2,256,20144,12.71
q35-27B,D_4x48t,node0a,48,0-23,96-119,no_spec,0,256,76191,3.36
q35-27B,D_4x48t,node0b,48,24-47,120-143,no_spec,0,256,75406,3.39
q35-27B,D_4x48t,node1a,48,48-71,144-167,no_spec,0,256,97755,2.62
q35-27B,D_4x48t,node1b,48,72-95,168-191,no_spec,0,256,97958,2.61
q35-27B,D_4x48t,node0a,48,0-23,96-119,no_spec,1,256,20836,12.29
q35-27B,D_4x48t,node0b,48,24-47,120-143,no_spec,1,256,76435,3.35
q35-27B,D_4x48t,node1a,48,48-71,144-167,no_spec,1,256,21009,12.19
q35-27B,D_4x48t,node1b,48,72-95,168-191,no_spec,1,256,98054,2.61
q35-27B,D_4x48t,node0a,48,0-23,96-119,no_spec,2,256,19916,12.85
q35-27B,D_4x48t,node0b,48,24-47,120-143,no_spec,2,256,20203,12.67
q35-27B,D_4x48t,node1a,48,48-71,144-167,no_spec,2,256,98321,2.60
q35-27B,D_4x48t,node1b,48,72-95,168-191,no_spec,2,256,98221,2.61
q35-27B,B_96t_draft,1,96,0-47,96-143,draft_dm16,0,256,23931,10.70
q35-27B,B_96t_draft,1,96,0-47,96-143,draft_dm16,1,256,102863,2.49
q35-27B,B_96t_draft,1,96,0-47,96-143,draft_dm16,2,256,20288,12.62
q35-122B,A_192t,1,192,all,no_spec,0,0,21,0.00
q35-122B,A_192t,1,192,all,no_spec,1,256,20573,12.44
q35-122B,A_192t,1,192,all,no_spec,2,256,20179,12.69
q35-122B,B_96t,1,96,0-47,96-143,no_spec,0,256,20402,12.55
q35-122B,B_96t,1,96,0-47,96-143,no_spec,1,256,20610,12.42
q35-122B,B_96t,1,96,0-47,96-143,no_spec,2,0,20,0.00
q35-122B,B_96t_draft,1,96,0-47,96-143,draft_dm16,0,256,22745,11.26
q35-122B,B_96t_draft,1,96,0-47,96-143,draft_dm16,1,256,20668,12.39
q35-122B,B_96t_draft,1,96,0-47,96-143,draft_dm16,2,256,26128,9.80
q35-397B,A_192t,1,192,all,no_spec,0,0,20,0.00
q35-397B,A_192t,1,192,all,no_spec,1,256,20589,12.43
q35-397B,A_192t,1,192,all,no_spec,2,0,20,0.00
q35-397B,B_96t,1,96,0-47,96-143,no_spec,0,0,21,0.00
q35-397B,B_96t,1,96,0-47,96-143,no_spec,1,256,24715,10.36
q35-397B,B_96t,1,96,0-47,96-143,no_spec,2,256,20492,12.49
