config,instance,threads,cpu_binding,drafter,draft_max,prompt_idx,tokens_generated,time_ms,tokens_per_sec
S3-A,q0a,48,node0a,none,0,0,256,21309,12.01
S3-A,q0b,48,node0b,none,0,0,256,21242,12.05
S3-A,q1a,48,node1a,none,0,0,256,21257,12.04
S3-A,q1b,48,node1b,none,0,0,256,21832,11.73
S3-A,q0a,48,node0a,none,0,1,256,21245,12.05
S3-A,q0b,48,node0b,none,0,1,256,21457,11.93
S3-A,q1a,48,node1a,none,0,1,256,21183,12.09
S3-A,q1b,48,node1b,none,0,1,256,21726,11.78
S3-A,q0a,48,node0a,none,0,2,256,20582,12.44
S3-A,q0b,48,node0b,none,0,2,256,20038,12.78
S3-A,q1a,48,node1a,none,0,2,256,21206,12.07
S3-A,q1b,48,node1b,none,0,2,256,21964,11.66
S3-B,q0a,48,node0a,q35-0.8B-Q8,16,0,256,20404,12.55
S3-B,q0b,48,node0b,q35-0.8B-Q8,16,0,256,46722,5.48
S3-B,q1a,48,node1a,q35-0.8B-Q8,16,0,256,44462,5.76
S3-B,q1b,48,node1b,q35-0.8B-Q8,16,0,256,39133,6.54
S3-B,q0a,48,node0a,q35-0.8B-Q8,16,1,256,20426,12.53
S3-B,q0b,48,node0b,q35-0.8B-Q8,16,1,256,32169,7.96
S3-B,q1a,48,node1a,q35-0.8B-Q8,16,1,256,21460,11.93
S3-B,q1b,48,node1b,q35-0.8B-Q8,16,1,256,46119,5.55
S3-B,q0a,48,node0a,q35-0.8B-Q8,16,2,256,20986,12.20
S3-B,q0b,48,node0b,q35-0.8B-Q8,16,2,256,41557,6.16
S3-B,q1a,48,node1a,q35-0.8B-Q8,16,2,256,21139,12.11
S3-B,q1b,48,node1b,q35-0.8B-Q8,16,2,256,38208,6.70
S3-C,q0a,48,node0a,q35-0.8B-Q8,32,0,256,20714,12.36
S3-C,q0b,48,node0b,q35-0.8B-Q8,32,0,256,20490,12.49
S3-C,q1a,48,node1a,q35-0.8B-Q8,32,0,256,21111,12.13
S3-C,q1b,48,node1b,q35-0.8B-Q8,32,0,256,39614,6.46
S3-C,q0a,48,node0a,q35-0.8B-Q8,32,1,256,20843,12.28
S3-C,q0b,48,node0b,q35-0.8B-Q8,32,1,256,20138,12.71
S3-C,q1a,48,node1a,q35-0.8B-Q8,32,1,256,49706,5.15
S3-C,q1b,48,node1b,q35-0.8B-Q8,32,1,256,48600,5.27
S3-C,q0a,48,node0a,q35-0.8B-Q8,32,2,256,41606,6.15
S3-C,q0b,48,node0b,q35-0.8B-Q8,32,2,256,41186,6.22
S3-C,q1a,48,node1a,q35-0.8B-Q8,32,2,256,20787,12.32
S3-C,q1b,48,node1b,q35-0.8B-Q8,32,2,256,24394,10.49
S3-D,q0a,48,node0a,q25-0.5B-f16,16,0,256,20650,12.40
S3-D,q0b,48,node0b,q25-0.5B-f16,16,0,256,20001,12.80
S3-D,q1a,48,node1a,q25-0.5B-f16,16,0,256,20676,12.38
S3-D,q1b,48,node1b,q25-0.5B-f16,16,0,256,45061,5.68
S3-D,q0a,48,node0a,q25-0.5B-f16,16,1,256,18924,13.53
S3-D,q0b,48,node0b,q25-0.5B-f16,16,1,256,20237,12.65
S3-D,q1a,48,node1a,q25-0.5B-f16,16,1,256,21008,12.19
S3-D,q1b,48,node1b,q25-0.5B-f16,16,1,256,19550,13.09
S3-D,q0a,48,node0a,q25-0.5B-f16,16,2,256,20615,12.42
S3-D,q0b,48,node0b,q25-0.5B-f16,16,2,256,38667,6.62
S3-D,q1a,48,node1a,q25-0.5B-f16,16,2,256,40355,6.34
S3-D,q1b,48,node1b,q25-0.5B-f16,16,2,256,39948,6.41
S3-E,q0a,48,node0a,q25-0.5B-f16,32,0,256,43106,5.94
S3-E,q0b,48,node0b,q25-0.5B-f16,32,0,256,44077,5.81
S3-E,q1a,48,node1a,q25-0.5B-f16,32,0,256,20870,12.27
S3-E,q1b,48,node1b,q25-0.5B-f16,32,0,256,45323,5.65
S3-E,q0a,48,node0a,q25-0.5B-f16,32,1,256,20185,12.68
S3-E,q0b,48,node0b,q25-0.5B-f16,32,1,256,19956,12.83
S3-E,q1a,48,node1a,q25-0.5B-f16,32,1,256,17987,14.23
S3-E,q1b,48,node1b,q25-0.5B-f16,32,1,256,18268,14.01
S3-E,q0a,48,node0a,q25-0.5B-f16,32,2,256,38174,6.71
S3-E,q0b,48,node0b,q25-0.5B-f16,32,2,256,38838,6.59
S3-E,q1a,48,node1a,q25-0.5B-f16,32,2,256,21201,12.07
S3-E,q1b,48,node1b,q25-0.5B-f16,32,2,256,39524,6.48
S3-F,1,96,node0,q25-0.5B-f16,16,0,0,23,0.00
S3-F,1,96,node0,q25-0.5B-f16,16,1,0,22,0.00
S3-F,1,96,node0,q25-0.5B-f16,16,2,0,20,0.00
