model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
Bonsai-8B,A_1x96t_interleave,1,96,interleave,baseline,0,256,33692,7.6
Bonsai-8B,A_1x96t_interleave,1,96,interleave,baseline,1,256,35121,7.29
Bonsai-8B,A_1x96t_interleave,1,96,interleave,baseline,2,256,34477,7.43
Bonsai-8B,B_1x96t_node0,1,96,node0,baseline,0,256,35134,7.29
Bonsai-8B,B_1x96t_node0,1,96,node0,baseline,1,256,35606,7.19
Bonsai-8B,B_1x96t_node0,1,96,node0,baseline,2,256,34734,7.37
Bonsai-8B,C_2x96t,n0,96,node0,baseline,0,256,50313,5.09
Bonsai-8B,C_2x96t,n1,96,node1,baseline,0,256,77441,3.31
Bonsai-8B,C_2x96t,n0,96,node0,baseline,1,256,48339,5.3
Bonsai-8B,C_2x96t,n1,96,node1,baseline,1,256,80272,3.19
Bonsai-8B,C_2x96t,n0,96,node0,baseline,2,256,52702,4.86
Bonsai-8B,C_2x96t,n1,96,node1,baseline,2,256,84437,3.03
Bonsai-8B,D_4x48t,n0a,48,n0a,baseline,0,256,86817,2.95
Bonsai-8B,D_4x48t,n0b,48,n0b,baseline,0,0,91777,0.0
Bonsai-8B,D_4x48t,n1a,48,n1a,baseline,0,0,92007,0.0
Bonsai-8B,D_4x48t,n1b,48,n1b,baseline,0,256,80763,3.17
Bonsai-8B,D_4x48t,n0a,48,n0a,baseline,1,0,1,0.0
Bonsai-8B,D_4x48t,n0b,48,n0b,baseline,1,0,1,0.0
Bonsai-8B,D_4x48t,n1a,48,n1a,baseline,1,0,0,0.0
Bonsai-8B,D_4x48t,n1b,48,n1b,baseline,1,0,0,0.0
Bonsai-8B,D_4x48t,n0a,48,n0a,baseline,2,0,1,0.0
Bonsai-8B,D_4x48t,n0b,48,n0b,baseline,2,0,0,0.0
Bonsai-8B,D_4x48t,n1a,48,n1a,baseline,2,0,0,0.0
Bonsai-8B,D_4x48t,n1b,48,n1b,baseline,2,0,0,0.0
