model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
Gemma4-E2B-Q8,dmsweep_dm0,1,96,interleave,baseline,0,256,7559,33.87
Gemma4-E2B-Q8,dmsweep_dm0,1,96,interleave,baseline,1,256,7535,33.97
Gemma4-E2B-Q8,dmsweep_dm0,1,96,interleave,baseline,2,256,7518,34.05
Gemma4-E2B-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,0,256,7605,33.66
Gemma4-E2B-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,1,256,7570,33.82
Gemma4-E2B-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,2,256,7537,33.97
Gemma4-E2B-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,0,256,7807,32.79
Gemma4-E2B-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,1,256,7558,33.87
Gemma4-E2B-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,2,256,7507,34.1
Gemma4-E2B-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,0,256,7534,33.98
Gemma4-E2B-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,1,256,7549,33.91
Gemma4-E2B-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,2,256,7549,33.91
Gemma4-E2B-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,0,256,7973,32.11
Gemma4-E2B-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,1,256,7864,32.55
Gemma4-E2B-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,2,256,7797,32.83
Gemma4-E2B-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,0,256,7508,34.1
Gemma4-E2B-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,1,256,7521,34.04
Gemma4-E2B-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,2,256,7524,34.02
Gemma4-E2B-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,0,256,7636,33.53
Gemma4-E2B-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,1,256,7565,33.84
Gemma4-E2B-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,2,256,7569,33.82
Gemma4-E2B-Q8,C_2x96t,n0,96,node0,ngram_dm96,0,256,14591,17.55
Gemma4-E2B-Q8,C_2x96t,n1,96,node1,ngram_dm96,0,256,20257,12.64
Gemma4-E2B-Q8,C_2x96t,n0,96,node0,ngram_dm96,1,256,17280,14.81
Gemma4-E2B-Q8,C_2x96t,n1,96,node1,ngram_dm96,1,256,22924,11.17
Gemma4-E2B-Q8,C_2x96t,n0,96,node0,ngram_dm96,2,256,19064,13.43
Gemma4-E2B-Q8,C_2x96t,n1,96,node1,ngram_dm96,2,256,24922,10.27
Gemma4-E2B-Q8,D_4x48t,n0a,48,n0a,ngram_dm96,0,256,17908,14.3
Gemma4-E2B-Q8,D_4x48t,n0b,48,n0b,ngram_dm96,0,256,14759,17.35
Gemma4-E2B-Q8,D_4x48t,n1a,48,n1a,ngram_dm96,0,256,28962,8.84
Gemma4-E2B-Q8,D_4x48t,n1b,48,n1b,ngram_dm96,0,256,15850,16.15
Gemma4-E2B-Q8,D_4x48t,n0a,48,n0a,ngram_dm96,1,256,18233,14.04
Gemma4-E2B-Q8,D_4x48t,n0b,48,n0b,ngram_dm96,1,256,18697,13.69
Gemma4-E2B-Q8,D_4x48t,n1a,48,n1a,ngram_dm96,1,256,27518,9.3
Gemma4-E2B-Q8,D_4x48t,n1b,48,n1b,ngram_dm96,1,256,15678,16.33
Gemma4-E2B-Q8,D_4x48t,n0a,48,n0a,ngram_dm96,2,256,19559,13.09
Gemma4-E2B-Q8,D_4x48t,n0b,48,n0b,ngram_dm96,2,256,15585,16.43
Gemma4-E2B-Q8,D_4x48t,n1a,48,n1a,ngram_dm96,2,256,16179,15.82
Gemma4-E2B-Q8,D_4x48t,n1b,48,n1b,ngram_dm96,2,256,23337,10.97
