model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,0,256,10448,24.5
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,1,256,10508,24.36
Qwen3.6-Q4,A_1x96t_interleave,1,96,interleave,baseline,2,256,10481,24.43
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,0,256,10747,23.82
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,1,256,10744,23.83
Qwen3.6-Q4,B_1x96t_node0,1,96,node0,baseline,2,256,10682,23.97
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,0,256,30976,8.26
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,0,256,22801,11.23
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,1,256,27244,9.4
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,1,256,18322,13.97
Qwen3.6-Q4,C_2x96t,n0,96,node0,baseline,2,256,40349,6.34
Qwen3.6-Q4,C_2x96t,n1,96,node1,baseline,2,256,15004,17.06
Qwen3.6-Q4,D_4x48t,n0a,48,n0a,baseline,0,256,25110,10.2
Qwen3.6-Q4,D_4x48t,n0b,48,n0b,baseline,0,256,20587,12.44
Qwen3.6-Q4,D_4x48t,n1a,48,n1a,baseline,0,256,23139,11.06
Qwen3.6-Q4,D_4x48t,n1b,48,n1b,baseline,0,256,18591,13.77
Qwen3.6-Q4,D_4x48t,n0a,48,n0a,baseline,1,256,16207,15.8
Qwen3.6-Q4,D_4x48t,n0b,48,n0b,baseline,1,256,25492,10.04
Qwen3.6-Q4,D_4x48t,n1a,48,n1a,baseline,1,256,15614,16.4
Qwen3.6-Q4,D_4x48t,n1b,48,n1b,baseline,1,256,25955,9.86
Qwen3.6-Q4,D_4x48t,n0a,48,n0a,baseline,2,256,18965,13.5
Qwen3.6-Q4,D_4x48t,n0b,48,n0b,baseline,2,256,20443,12.52
Qwen3.6-Q4,D_4x48t,n1a,48,n1a,baseline,2,256,25136,10.18
Qwen3.6-Q4,D_4x48t,n1b,48,n1b,baseline,2,256,15901,16.1
Qwen3.6-Q4,E_8x24t,n0a0,24,n0a0,baseline,0,256,32755,7.82
Qwen3.6-Q4,E_8x24t,n0a1,24,n0a1,baseline,0,256,32992,7.76
Qwen3.6-Q4,E_8x24t,n0b0,24,n0b0,baseline,0,256,27019,9.47
Qwen3.6-Q4,E_8x24t,n0b1,24,n0b1,baseline,0,256,25679,9.97
Qwen3.6-Q4,E_8x24t,n1a0,24,n1a0,baseline,0,256,31569,8.11
Qwen3.6-Q4,E_8x24t,n1a1,24,n1a1,baseline,0,256,33279,7.69
Qwen3.6-Q4,E_8x24t,n1b0,24,n1b0,baseline,0,256,36665,6.98
Qwen3.6-Q4,E_8x24t,n1b1,24,n1b1,baseline,0,256,30697,8.34
Qwen3.6-Q4,E_8x24t,n0a0,24,n0a0,baseline,1,256,32655,7.84
Qwen3.6-Q4,E_8x24t,n0a1,24,n0a1,baseline,1,256,31260,8.19
Qwen3.6-Q4,E_8x24t,n0b0,24,n0b0,baseline,1,256,26839,9.54
Qwen3.6-Q4,E_8x24t,n0b1,24,n0b1,baseline,1,256,30635,8.36
Qwen3.6-Q4,E_8x24t,n1a0,24,n1a0,baseline,1,256,32087,7.98
Qwen3.6-Q4,E_8x24t,n1a1,24,n1a1,baseline,1,256,30937,8.27
Qwen3.6-Q4,E_8x24t,n1b0,24,n1b0,baseline,1,256,34511,7.42
Qwen3.6-Q4,E_8x24t,n1b1,24,n1b1,baseline,1,256,36566,7.0
Qwen3.6-Q4,E_8x24t,n0a0,24,n0a0,baseline,2,256,30684,8.34
Qwen3.6-Q4,E_8x24t,n0a1,24,n0a1,baseline,2,256,32972,7.76
Qwen3.6-Q4,E_8x24t,n0b0,24,n0b0,baseline,2,256,29883,8.57
Qwen3.6-Q4,E_8x24t,n0b1,24,n0b1,baseline,2,256,28984,8.83
Qwen3.6-Q4,E_8x24t,n1a0,24,n1a0,baseline,2,256,44638,5.74
Qwen3.6-Q4,E_8x24t,n1a1,24,n1a1,baseline,2,256,26456,9.68
Qwen3.6-Q4,E_8x24t,n1b0,24,n1b0,baseline,2,256,28023,9.14
Qwen3.6-Q4,E_8x24t,n1b1,24,n1b1,baseline,2,256,29533,8.67
