model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,0,256,12195,20.99
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,1,256,12311,20.79
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,2,256,12332,20.76
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,0,256,12061,21.23
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,1,256,12313,20.79
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,2,256,12375,20.69
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,0,256,12049,21.25
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,1,256,12280,20.85
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,2,256,12233,20.93
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,0,256,11955,21.41
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,1,256,12267,20.87
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,2,256,12261,20.88
SG4-26b-MM-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,0,256,11971,21.39
SG4-26b-MM-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,1,256,12203,20.98
SG4-26b-MM-Q8,dmsweep_dm64,1,96,interleave,ngram_dm64,2,256,12219,20.95
SG4-26b-MM-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,0,256,11914,21.49
SG4-26b-MM-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,1,256,12205,20.98
SG4-26b-MM-Q8,dmsweep_dm96,1,96,interleave,ngram_dm96,2,256,12229,20.93
SG4-26b-MM-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,0,256,12024,21.29
SG4-26b-MM-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,1,256,12307,20.8
SG4-26b-MM-Q8,dmsweep_dm128,1,96,interleave,ngram_dm128,2,256,12340,20.75
