model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
SG4-31b-Q4,dmsweep_dm0,1,96,interleave,baseline,0,256,30277,8.46
SG4-31b-Q4,dmsweep_dm0,1,96,interleave,baseline,1,256,30243,8.46
SG4-31b-Q4,dmsweep_dm0,1,96,interleave,baseline,2,256,30172,8.48
SG4-31b-Q4,dmsweep_dm16,1,96,interleave,ngram_dm16,0,256,30822,8.31
SG4-31b-Q4,dmsweep_dm16,1,96,interleave,ngram_dm16,1,256,30891,8.29
SG4-31b-Q4,dmsweep_dm16,1,96,interleave,ngram_dm16,2,256,30867,8.29
SG4-31b-Q4,dmsweep_dm32,1,96,interleave,ngram_dm32,0,256,30426,8.41
SG4-31b-Q4,dmsweep_dm32,1,96,interleave,ngram_dm32,1,256,30353,8.43
SG4-31b-Q4,dmsweep_dm32,1,96,interleave,ngram_dm32,2,256,30448,8.41
SG4-31b-Q4,dmsweep_dm48,1,96,interleave,ngram_dm48,0,256,30394,8.42
SG4-31b-Q4,dmsweep_dm48,1,96,interleave,ngram_dm48,1,256,30541,8.38
SG4-31b-Q4,dmsweep_dm48,1,96,interleave,ngram_dm48,2,256,30850,8.3
SG4-31b-Q4,dmsweep_dm64,1,96,interleave,ngram_dm64,0,256,28673,8.93
SG4-31b-Q4,dmsweep_dm64,1,96,interleave,ngram_dm64,1,256,28834,8.88
SG4-31b-Q4,dmsweep_dm64,1,96,interleave,ngram_dm64,2,256,28877,8.87
SG4-31b-Q4,dmsweep_dm96,1,96,interleave,ngram_dm96,0,256,29535,8.67
SG4-31b-Q4,dmsweep_dm96,1,96,interleave,ngram_dm96,1,256,29410,8.7
SG4-31b-Q4,dmsweep_dm96,1,96,interleave,ngram_dm96,2,256,29505,8.68
SG4-31b-Q4,dmsweep_dm128,1,96,interleave,ngram_dm128,0,256,28413,9.01
SG4-31b-Q4,dmsweep_dm128,1,96,interleave,ngram_dm128,1,256,28478,8.99
SG4-31b-Q4,dmsweep_dm128,1,96,interleave,ngram_dm128,2,256,28431,9.0
SG4-31b-Q4,C_2x96t,n0,96,node0,ngram_dm128,0,256,100206,2.55
SG4-31b-Q4,C_2x96t,n1,96,node1,ngram_dm128,0,256,124362,2.06
SG4-31b-Q4,C_2x96t,n0,96,node0,ngram_dm128,1,256,113239,2.26
SG4-31b-Q4,C_2x96t,n1,96,node1,ngram_dm128,1,256,119026,2.15
SG4-31b-Q4,C_2x96t,n0,96,node0,ngram_dm128,2,256,91918,2.79
SG4-31b-Q4,C_2x96t,n1,96,node1,ngram_dm128,2,256,121481,2.11
SG4-31b-Q4,D_4x48t,n0a,48,n0a,ngram_dm128,0,256,84767,3.02
SG4-31b-Q4,D_4x48t,n0b,48,n0b,ngram_dm128,0,256,104356,2.45
SG4-31b-Q4,D_4x48t,n1a,48,n1a,ngram_dm128,0,256,91122,2.81
SG4-31b-Q4,D_4x48t,n1b,48,n1b,ngram_dm128,0,256,71432,3.58
SG4-31b-Q4,D_4x48t,n0a,48,n0a,ngram_dm128,1,256,72187,3.55
SG4-31b-Q4,D_4x48t,n0b,48,n0b,ngram_dm128,1,256,117071,2.19
SG4-31b-Q4,D_4x48t,n1a,48,n1a,ngram_dm128,1,256,76347,3.35
SG4-31b-Q4,D_4x48t,n1b,48,n1b,ngram_dm128,1,256,83259,3.07
SG4-31b-Q4,D_4x48t,n0a,48,n0a,ngram_dm128,2,256,83729,3.06
SG4-31b-Q4,D_4x48t,n0b,48,n0b,ngram_dm128,2,256,78881,3.25
SG4-31b-Q4,D_4x48t,n1a,48,n1a,ngram_dm128,2,256,111527,2.3
SG4-31b-Q4,D_4x48t,n1b,48,n1b,ngram_dm128,2,256,65471,3.91
SG4-31b-Q4,E_8x24t,n0a0,24,n0a0,ngram_dm128,0,256,148190,1.73
SG4-31b-Q4,E_8x24t,n0a1,24,n0a1,ngram_dm128,0,256,132690,1.93
SG4-31b-Q4,E_8x24t,n0b0,24,n0b0,ngram_dm128,0,256,149329,1.71
SG4-31b-Q4,E_8x24t,n0b1,24,n0b1,ngram_dm128,0,256,139215,1.84
SG4-31b-Q4,E_8x24t,n1a0,24,n1a0,ngram_dm128,0,256,112650,2.27
SG4-31b-Q4,E_8x24t,n1a1,24,n1a1,ngram_dm128,0,256,173398,1.48
SG4-31b-Q4,E_8x24t,n1b0,24,n1b0,ngram_dm128,0,256,154026,1.66
SG4-31b-Q4,E_8x24t,n1b1,24,n1b1,ngram_dm128,0,256,122989,2.08
SG4-31b-Q4,E_8x24t,n0a0,24,n0a0,ngram_dm128,1,0,25420,0.0
SG4-31b-Q4,E_8x24t,n0a1,24,n0a1,ngram_dm128,1,0,25354,0.0
SG4-31b-Q4,E_8x24t,n0b0,24,n0b0,ngram_dm128,1,0,25183,0.0
SG4-31b-Q4,E_8x24t,n0b1,24,n0b1,ngram_dm128,1,0,25183,0.0
SG4-31b-Q4,E_8x24t,n1a0,24,n1a0,ngram_dm128,1,0,25473,0.0
SG4-31b-Q4,E_8x24t,n1a1,24,n1a1,ngram_dm128,1,0,25457,0.0
SG4-31b-Q4,E_8x24t,n1b0,24,n1b0,ngram_dm128,1,0,25456,0.0
SG4-31b-Q4,E_8x24t,n1b1,24,n1b1,ngram_dm128,1,0,25181,0.0
SG4-31b-Q4,E_8x24t,n0a0,24,n0a0,ngram_dm128,2,0,1,0.0
SG4-31b-Q4,E_8x24t,n0a1,24,n0a1,ngram_dm128,2,0,1,0.0
SG4-31b-Q4,E_8x24t,n0b0,24,n0b0,ngram_dm128,2,0,1,0.0
SG4-31b-Q4,E_8x24t,n0b1,24,n0b1,ngram_dm128,2,0,1,0.0
SG4-31b-Q4,E_8x24t,n1a0,24,n1a0,ngram_dm128,2,0,1,0.0
SG4-31b-Q4,E_8x24t,n1a1,24,n1a1,ngram_dm128,2,0,0,0.0
SG4-31b-Q4,E_8x24t,n1b0,24,n1b0,ngram_dm128,2,0,0,0.0
SG4-31b-Q4,E_8x24t,n1b1,24,n1b1,ngram_dm128,2,0,0,0.0
