config,instance,threads,cpu_binding,tree,prompt_idx,tokens_generated,time_ms,tokens_per_sec
A,1,192,all,tree,0,256,37310,6.86
A,1,192,all,tree,1,256,91257,2.81
A,1,192,all,tree,2,256,84237,3.04
A,1,192,all,tree,3,256,68845,3.72
B,1,96,node0,tree,0,256,19642,13.03
B,1,96,node0,tree,1,256,50613,5.06
B,1,96,node0,tree,2,256,46798,5.47
B,1,96,node0,tree,3,256,40344,6.35
D,q0a,48,node0a,tree,0,256,23080,11.09
D,q0b,48,node0b,tree,0,256,23070,11.10
D,q1a,48,node1a,tree,0,256,21367,11.98
D,q1b,48,node1b,tree,0,256,21296,12.02
D,q0a,48,node0a,tree,1,256,61097,4.19
D,q0b,48,node0b,tree,1,256,60270,4.25
D,q1a,48,node1a,tree,1,256,54233,4.72
D,q1b,48,node1b,tree,1,256,53715,4.77
D,q0a,48,node0a,tree,2,256,56123,4.56
D,q0b,48,node0b,tree,2,256,56145,4.56
D,q1a,48,node1a,tree,2,256,50349,5.08
D,q1b,48,node1b,tree,2,256,50055,5.11
D,q0a,48,node0a,tree,3,256,48560,5.27
D,q0b,48,node0b,tree,3,256,48544,5.27
D,q1a,48,node1a,tree,3,256,43811,5.84
D,q1b,48,node1b,tree,3,256,43608,5.87
E,q0a,48,node0a,linear,0,256,23366,10.96
E,q0b,48,node0b,linear,0,256,23263,11.00
E,q1a,48,node1a,linear,0,256,21458,11.93
E,q1b,48,node1b,linear,0,256,21377,11.98
E,q0a,48,node0a,linear,1,256,60415,4.24
E,q0b,48,node0b,linear,1,256,60375,4.24
E,q1a,48,node1a,linear,1,256,54200,4.72
E,q1b,48,node1b,linear,1,256,53858,4.75
E,q0a,48,node0a,linear,2,256,56046,4.57
E,q0b,48,node0b,linear,2,256,56121,4.56
E,q1a,48,node1a,linear,2,256,50569,5.06
E,q1b,48,node1b,linear,2,256,50730,5.05
E,q0a,48,node0a,linear,3,256,48393,5.29
E,q0b,48,node0b,linear,3,256,48623,5.26
E,q1a,48,node1a,linear,3,256,44704,5.73
E,q1b,48,node1b,linear,3,256,44116,5.80
