0.00.036.306 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.637 W srv  llama_server: -----------------
0.00.036.638 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.638 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.639 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.639 W srv  llama_server: -----------------
0.00.037.838 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwable-v1-GGUF/Qwable-v1.IQ4_XS.gguf'
0.03.131.371 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.03.141.790 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.141.833 I srv  llama_server: model loaded
0.03.141.839 I srv  llama_server: listening on http://127.0.0.1:18840
0.04.059.834 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.04.059.866 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.328.247 I slot print_timing: id  3 | task 0 | prompt eval time =     197.66 ms /    61 tokens (    3.24 ms per token,   308.61 tokens per second)
0.04.328.252 I slot print_timing: id  3 | task 0 |        eval time =      70.68 ms /     7 tokens (   10.10 ms per token,    99.03 tokens per second)
0.04.328.253 I slot print_timing: id  3 | task 0 |       total time =     268.35 ms /    68 tokens
0.04.328.257 I slot print_timing: id  3 | task 0 |    graphs reused =          6
0.04.328.321 I slot      release: id  3 | task 0 | stop processing: n_tokens = 67, truncated = 0
0.04.337.879 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.324 (> 0.100 thold), f_keep = 0.343
0.04.365.684 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.04.541.346 I slot print_timing: id  3 | task 10 | prompt eval time =     116.51 ms /    51 tokens (    2.28 ms per token,   437.72 tokens per second)
0.04.541.349 I slot print_timing: id  3 | task 10 |        eval time =      59.12 ms /     6 tokens (    9.85 ms per token,   101.49 tokens per second)
0.04.541.350 I slot print_timing: id  3 | task 10 |       total time =     175.63 ms /    57 tokens
0.04.541.350 I slot print_timing: id  3 | task 10 |    graphs reused =         10
0.04.541.401 I slot      release: id  3 | task 10 | stop processing: n_tokens = 76, truncated = 0
0.04.551.558 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.329 (> 0.100 thold), f_keep = 0.303
0.04.587.167 I slot launch_slot_: id  3 | task 18 | processing task, is_child = 0
0.04.844.572 I slot print_timing: id  3 | task 18 | prompt eval time =     117.68 ms /    50 tokens (    2.35 ms per token,   424.88 tokens per second)
0.04.844.575 I slot print_timing: id  3 | task 18 |        eval time =     139.69 ms /    14 tokens (    9.98 ms per token,   100.22 tokens per second)
0.04.844.576 I slot print_timing: id  3 | task 18 |       total time =     257.38 ms /    64 tokens
0.04.844.576 I slot print_timing: id  3 | task 18 |    graphs reused =         22
0.04.844.632 I slot      release: id  3 | task 18 | stop processing: n_tokens = 83, truncated = 0
0.04.854.478 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.353 (> 0.100 thold), f_keep = 0.289
0.04.890.082 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.05.020.726 I slot print_timing: id  3 | task 34 | prompt eval time =     118.19 ms /    48 tokens (    2.46 ms per token,   406.13 tokens per second)
0.05.020.728 I slot print_timing: id  3 | task 34 |        eval time =      12.42 ms /     2 tokens (    6.21 ms per token,   160.98 tokens per second)
0.05.020.729 I slot print_timing: id  3 | task 34 |       total time =     130.61 ms /    50 tokens
0.05.020.729 I slot print_timing: id  3 | task 34 |    graphs reused =         22
0.05.020.768 I slot      release: id  3 | task 34 | stop processing: n_tokens = 69, truncated = 0
0.05.031.004 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.451 (> 0.100 thold), f_keep = 0.333
0.05.066.287 I slot launch_slot_: id  3 | task 38 | processing task, is_child = 0
0.05.257.562 I slot print_timing: id  3 | task 38 | prompt eval time =     101.66 ms /    31 tokens (    3.28 ms per token,   304.94 tokens per second)
0.05.257.565 I slot print_timing: id  3 | task 38 |        eval time =      89.58 ms /     9 tokens (    9.95 ms per token,   100.46 tokens per second)
0.05.257.566 I slot print_timing: id  3 | task 38 |       total time =     191.25 ms /    40 tokens
0.05.257.567 I slot print_timing: id  3 | task 38 |    graphs reused =         29
0.05.257.612 I slot      release: id  3 | task 38 | stop processing: n_tokens = 59, truncated = 0
0.05.267.340 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.404 (> 0.100 thold), f_keep = 0.390
0.05.302.251 I slot launch_slot_: id  3 | task 49 | processing task, is_child = 0
0.05.522.810 I slot print_timing: id  3 | task 49 | prompt eval time =     111.28 ms /    37 tokens (    3.01 ms per token,   332.50 tokens per second)
0.05.522.813 I slot print_timing: id  3 | task 49 |        eval time =     109.25 ms /    11 tokens (    9.93 ms per token,   100.68 tokens per second)
0.05.522.814 I slot print_timing: id  3 | task 49 |       total time =     220.53 ms /    48 tokens
0.05.522.815 I slot print_timing: id  3 | task 49 |    graphs reused =         38
0.05.522.864 I slot      release: id  3 | task 49 | stop processing: n_tokens = 67, truncated = 0
0.05.533.218 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.177 (> 0.100 thold), f_keep = 0.343
0.05.568.728 I slot launch_slot_: id  3 | task 62 | processing task, is_child = 0
0.05.840.357 I slot print_timing: id  3 | task 62 | prompt eval time =     151.81 ms /   110 tokens (    1.38 ms per token,   724.57 tokens per second)
0.05.840.361 I slot print_timing: id  3 | task 62 |        eval time =     119.78 ms /    12 tokens (    9.98 ms per token,   100.18 tokens per second)
0.05.840.362 I slot print_timing: id  3 | task 62 |       total time =     271.60 ms /   122 tokens
0.05.840.363 I slot print_timing: id  3 | task 62 |    graphs reused =         48
0.05.840.411 I slot      release: id  3 | task 62 | stop processing: n_tokens = 141, truncated = 0
0.05.850.380 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.245 (> 0.100 thold), f_keep = 0.163
0.05.886.268 I slot launch_slot_: id  3 | task 76 | processing task, is_child = 0
0.06.023.913 I slot print_timing: id  3 | task 76 | prompt eval time =     125.22 ms /    74 tokens (    1.69 ms per token,   590.96 tokens per second)
0.06.023.916 I slot print_timing: id  3 | task 76 |        eval time =      12.39 ms /     2 tokens (    6.20 ms per token,   161.36 tokens per second)
0.06.023.916 I slot print_timing: id  3 | task 76 |       total time =     137.62 ms /    76 tokens
0.06.023.917 I slot print_timing: id  3 | task 76 |    graphs reused =         48
0.06.023.962 I slot      release: id  3 | task 76 | stop processing: n_tokens = 95, truncated = 0
0.06.034.084 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.390 (> 0.100 thold), f_keep = 0.242
0.06.069.952 I slot launch_slot_: id  3 | task 80 | processing task, is_child = 0
0.08.081.670 I slot print_timing: id  3 | task 80 | prompt eval time =     112.88 ms /    39 tokens (    2.89 ms per token,   345.50 tokens per second)
0.08.081.674 I slot print_timing: id  3 | task 80 |        eval time =    1898.81 ms /   189 tokens (   10.05 ms per token,    99.54 tokens per second)
0.08.081.674 I slot print_timing: id  3 | task 80 |       total time =    2011.69 ms /   228 tokens
0.08.081.675 I slot print_timing: id  3 | task 80 |    graphs reused =        235
0.08.081.721 I slot      release: id  3 | task 80 | stop processing: n_tokens = 247, truncated = 0
0.08.091.689 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.383 (> 0.100 thold), f_keep = 0.093
0.08.128.732 I slot launch_slot_: id  3 | task 271 | processing task, is_child = 0
0.08.622.214 I slot print_timing: id  3 | task 271 | prompt eval time =     112.60 ms /    40 tokens (    2.82 ms per token,   355.23 tokens per second)
0.08.622.218 I slot print_timing: id  3 | task 271 |        eval time =     380.85 ms /    38 tokens (   10.02 ms per token,    99.78 tokens per second)
0.08.622.218 I slot print_timing: id  3 | task 271 |       total time =     493.45 ms /    78 tokens
0.08.622.219 I slot print_timing: id  3 | task 271 |    graphs reused =        271
0.08.622.262 I slot      release: id  3 | task 271 | stop processing: n_tokens = 97, truncated = 0
