0.00.035.012 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.363 W srv  llama_server: -----------------
0.00.035.365 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.365 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.365 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.366 W srv  llama_server: -----------------
0.00.036.570 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf'
0.01.691.584 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.691.706 W llama_sampler_backend_support: device 'ROCm0' does not have support for op TOP_K needed for sampler 'top-k'
0.01.711.565 I srv  llama_server: model loaded
0.01.711.572 I srv  llama_server: listening on http://127.0.0.1:19321
0.02.029.699 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.029.784 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.251.301 I slot print_timing: id  0 | task 0 | prompt eval time =     145.57 ms /    62 tokens (    2.35 ms per token,   425.91 tokens per second)
0.02.251.305 I slot print_timing: id  0 | task 0 |        eval time =      75.91 ms /     7 tokens (   10.84 ms per token,    92.21 tokens per second)
0.02.251.305 I slot print_timing: id  0 | task 0 |       total time =     221.48 ms /    69 tokens
0.02.251.309 I slot print_timing: id  0 | task 0 |    graphs reused =          3
0.02.251.312 I slot print_timing: id  0 | task 0 | draft acceptance = 0.50000 (    3 accepted /     6 generated), mean len =  2.00
0.02.251.367 I slot      release: id  0 | task 0 | stop processing: n_tokens = 68, truncated = 0
0.02.261.215 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.333 (> 0.100 thold), f_keep = 0.353
0.02.284.449 I slot launch_slot_: id  0 | task 7 | processing task, is_child = 0
0.02.411.612 I slot print_timing: id  0 | task 7 | prompt eval time =      78.82 ms /    51 tokens (    1.55 ms per token,   647.08 tokens per second)
0.02.411.615 I slot print_timing: id  0 | task 7 |        eval time =      48.32 ms /     6 tokens (    8.05 ms per token,   124.17 tokens per second)
0.02.411.616 I slot print_timing: id  0 | task 7 |       total time =     127.14 ms /    57 tokens
0.02.411.617 I slot print_timing: id  0 | task 7 |    graphs reused =          4
0.02.411.620 I slot print_timing: id  0 | task 7 | draft acceptance = 0.75000 (    3 accepted /     4 generated), mean len =  2.50
0.02.411.651 I slot      release: id  0 | task 7 | stop processing: n_tokens = 77, truncated = 0
0.02.421.105 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.338 (> 0.100 thold), f_keep = 0.312
0.02.449.940 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.02.641.477 I slot print_timing: id  0 | task 12 | prompt eval time =      79.44 ms /    50 tokens (    1.59 ms per token,   629.40 tokens per second)
0.02.641.480 I slot print_timing: id  0 | task 12 |        eval time =     112.07 ms /    14 tokens (    8.00 ms per token,   124.92 tokens per second)
0.02.641.481 I slot print_timing: id  0 | task 12 |       total time =     191.51 ms /    64 tokens
0.02.641.481 I slot print_timing: id  0 | task 12 |    graphs reused =          8
0.02.641.483 I slot print_timing: id  0 | task 12 | draft acceptance = 1.00000 (   10 accepted /    10 generated), mean len =  3.00
0.02.641.515 I slot      release: id  0 | task 12 | stop processing: n_tokens = 86, truncated = 0
