0.00.035.327 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.653 W srv  llama_server: -----------------
0.00.035.654 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.654 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.654 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.654 W srv  llama_server: -----------------
0.00.036.847 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf'
0.01.448.518 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.458.810 I srv  llama_server: model loaded
0.01.458.817 I srv  llama_server: listening on http://127.0.0.1:19320
0.02.035.054 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.035.119 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.237.236 I slot print_timing: id  0 | task 0 | prompt eval time =     133.18 ms /    62 tokens (    2.15 ms per token,   465.55 tokens per second)
0.02.237.240 I slot print_timing: id  0 | task 0 |        eval time =      68.92 ms /     7 tokens (    9.85 ms per token,   101.57 tokens per second)
0.02.237.241 I slot print_timing: id  0 | task 0 |       total time =     202.09 ms /    69 tokens
0.02.237.244 I slot print_timing: id  0 | task 0 |    graphs reused =          6
0.02.237.329 I slot      release: id  0 | task 0 | stop processing: n_tokens = 68, truncated = 0
0.02.247.616 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.333 (> 0.100 thold), f_keep = 0.353
0.02.270.807 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.401.660 I slot print_timing: id  0 | task 10 | prompt eval time =      73.49 ms /    51 tokens (    1.44 ms per token,   693.96 tokens per second)
0.02.401.665 I slot print_timing: id  0 | task 10 |        eval time =      57.34 ms /     6 tokens (    9.56 ms per token,   104.64 tokens per second)
0.02.401.665 I slot print_timing: id  0 | task 10 |       total time =     130.83 ms /    57 tokens
0.02.401.666 I slot print_timing: id  0 | task 10 |    graphs reused =         10
0.02.401.735 I slot      release: id  0 | task 10 | stop processing: n_tokens = 77, truncated = 0
0.02.411.844 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.338 (> 0.100 thold), f_keep = 0.312
0.02.441.157 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.02.656.804 I slot print_timing: id  0 | task 18 | prompt eval time =      74.09 ms /    50 tokens (    1.48 ms per token,   674.88 tokens per second)
0.02.656.808 I slot print_timing: id  0 | task 18 |        eval time =     141.54 ms /    14 tokens (   10.11 ms per token,    98.91 tokens per second)
0.02.656.809 I slot print_timing: id  0 | task 18 |       total time =     215.63 ms /    64 tokens
0.02.656.810 I slot print_timing: id  0 | task 18 |    graphs reused =         22
0.02.656.883 I slot      release: id  0 | task 18 | stop processing: n_tokens = 84, truncated = 0
0.02.666.759 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.362 (> 0.100 thold), f_keep = 0.298
0.02.696.210 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.02.782.221 I slot print_timing: id  0 | task 34 | prompt eval time =      74.15 ms /    48 tokens (    1.54 ms per token,   647.34 tokens per second)
0.02.782.225 I slot print_timing: id  0 | task 34 |        eval time =      11.85 ms /     2 tokens (    5.92 ms per token,   168.85 tokens per second)
0.02.782.226 I slot print_timing: id  0 | task 34 |       total time =      86.00 ms /    50 tokens
0.02.782.227 I slot print_timing: id  0 | task 34 |    graphs reused =         22
0.02.782.265 I slot      release: id  0 | task 34 | stop processing: n_tokens = 70, truncated = 0
0.02.791.913 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.462 (> 0.100 thold), f_keep = 0.343
0.02.820.173 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.02.947.168 I slot print_timing: id  0 | task 38 | prompt eval time =      69.57 ms /    31 tokens (    2.24 ms per token,   445.58 tokens per second)
0.02.947.171 I slot print_timing: id  0 | task 38 |        eval time =      57.38 ms /     6 tokens (    9.56 ms per token,   104.56 tokens per second)
