config,draft_max,p_split,lookup,prompt_idx,tokens_generated,time_ms,tokens_per_sec
dm8_ps0,8,0,no,0,256,25800,9.92
dm8_ps0,8,0,no,1,256,39903,6.42
dm8_ps0,8,0,no,2,256,34744,7.37
dm16_ps0,16,0,no,0,256,23181,11.04
dm16_ps0,16,0,no,1,256,39279,6.52
dm16_ps0,16,0,no,2,256,34220,7.48
dm24_ps0,24,0,no,0,256,24830,10.31
dm24_ps0,24,0,no,1,256,41679,6.14
dm24_ps0,24,0,no,2,256,36287,7.05
dm32_ps0,32,0,no,0,256,22925,11.17
dm32_ps0,32,0,no,1,256,39034,6.56
dm32_ps0,32,0,no,2,256,34074,7.51
dm48_ps0,48,0,no,0,256,23333,10.97
dm48_ps0,48,0,no,1,256,38841,6.59
dm48_ps0,48,0,no,2,256,33881,7.56
dm24_ps0_01,24,0.01,no,0,256,27587,9.28
dm24_ps0_01,24,0.01,no,1,256,49249,5.20
dm24_ps0_01,24,0.01,no,2,256,38821,6.59
dm24_ps0_03,24,0.03,no,0,256,27279,9.38
dm24_ps0_03,24,0.03,no,1,256,47671,5.37
dm24_ps0_03,24,0.03,no,2,256,37389,6.85
dm24_ps0_05,24,0.05,no,0,256,26498,9.66
dm24_ps0_05,24,0.05,no,1,256,46873,5.46
dm24_ps0_05,24,0.05,no,2,256,36795,6.96
dm24_ps0_1,24,0.1,no,0,256,27279,9.38
dm24_ps0_1,24,0.1,no,1,256,47795,5.36
dm24_ps0_1,24,0.1,no,2,256,37492,6.83
dm24_ps0_2,24,0.2,no,0,256,26732,9.58
dm24_ps0_2,24,0.2,no,1,256,47250,5.42
dm24_ps0_2,24,0.2,no,2,256,37544,6.82
dm24_ps0_3,24,0.3,no,0,256,27213,9.41
dm24_ps0_3,24,0.3,no,1,256,47761,5.36
dm24_ps0_3,24,0.3,no,2,256,37435,6.84
dm32_ps0_01,32,0.01,no,0,256,28462,8.99
dm32_ps0_01,32,0.01,no,1,256,47717,5.36
dm32_ps0_01,32,0.01,no,2,256,37715,6.79
dm32_ps0_03,32,0.03,no,0,256,27940,9.16
dm32_ps0_03,32,0.03,no,1,256,46922,5.46
dm32_ps0_03,32,0.03,no,2,256,37178,6.89
dm32_ps0_05,32,0.05,no,0,256,27911,9.17
dm32_ps0_05,32,0.05,no,1,256,46933,5.45
dm32_ps0_05,32,0.05,no,2,256,37165,6.89
dm32_ps0_1,32,0.1,no,0,256,28083,9.12
dm32_ps0_1,32,0.1,no,1,256,47359,5.41
dm32_ps0_1,32,0.1,no,2,256,37495,6.83
dm32_ps0_2,32,0.2,no,0,256,29066,8.81
dm32_ps0_2,32,0.2,no,1,256,48997,5.22
