config,instance,threads,prompt_idx,tokens_generated,time_ms,tokens_per_sec
A_1x96t,node0,96,0,256,22346,11.46
A_1x96t,node0,96,1,256,38461,6.66
A_1x96t,node0,96,2,256,33666,7.60
B_2x96t_seq,node0,96,0,256,22786,11.23
B_2x96t_seq,node1,96,0,256,23456,10.91
B_2x96t_seq,node0,96,1,256,38920,6.58
B_2x96t_seq,node1,96,1,256,41263,6.20
B_2x96t_seq,node0,96,2,256,33818,7.57
B_2x96t_seq,node1,96,2,256,36624,6.99
B_2x96t_conc,node0,96,0,256,33270,7.69
B_2x96t_conc,node1,96,0,256,29829,8.58
B_2x96t_conc,node0,96,1,256,58543,4.37
B_2x96t_conc,node1,96,1,256,58673,4.36
B_2x96t_conc,node0,96,2,256,54025,4.74
B_2x96t_conc,node1,96,2,256,46750,5.48
