config,draft_max,p_split,lookup,prompt_idx,tokens_generated,time_ms,tokens_per_sec
baseline,0,0,no,0,256,52711,4.86
baseline,0,0,no,1,256,52192,4.90
baseline,0,0,no,2,256,52339,4.89
spec_dm8_linear,8,0,no,0,256,28056,9.12
spec_dm8_linear,8,0,no,1,256,43381,5.90
spec_dm8_linear,8,0,no,2,256,37698,6.79
spec_dm16_linear,16,0,no,0,256,25574,10.01
spec_dm16_linear,16,0,no,1,256,43963,5.82
spec_dm16_linear,16,0,no,2,256,38319,6.68
spec_dm24_linear,24,0,no,0,256,26271,9.74
spec_dm24_linear,24,0,no,1,256,44437,5.76
spec_dm24_linear,24,0,no,2,256,37021,6.91
spec_dm32_linear,32,0,no,0,256,23832,10.74
spec_dm32_linear,32,0,no,1,256,41438,6.18
spec_dm32_linear,32,0,no,2,256,36188,7.07
spec_dm48_linear,48,0,no,0,256,24583,10.41
spec_dm48_linear,48,0,no,1,256,41374,6.19
spec_dm48_linear,48,0,no,2,256,36225,7.07
spec_dm24_lookup,24,0,yes,0,256,24274,10.55
spec_dm24_lookup,24,0,yes,1,256,41326,6.19
spec_dm24_lookup,24,0,yes,2,256,35936,7.12
