config,draft_max,p_split,lookup,prompt_idx,tokens_generated,time_ms,tokens_per_sec
baseline,0,0,no,0,256,8258,31.00
baseline,0,0,no,1,256,7460,34.32
baseline,0,0,no,2,256,7461,34.31
spec_dm8_linear,8,0,no,0,256,5748,44.54
spec_dm8_linear,8,0,no,1,256,7671,33.37
spec_dm8_linear,8,0,no,2,256,6882,37.20
spec_dm16_linear,16,0,no,0,256,5615,45.59
spec_dm16_linear,16,0,no,1,256,7823,32.72
spec_dm16_linear,16,0,no,2,256,6905,37.07
spec_dm24_linear,24,0,no,0,256,5312,48.19
spec_dm24_linear,24,0,no,1,256,7693,33.28
spec_dm24_linear,24,0,no,2,256,6847,37.39
spec_dm32_linear,32,0,no,0,256,5715,44.79
spec_dm32_linear,32,0,no,1,256,7926,32.30
spec_dm32_linear,32,0,no,2,256,6769,37.82
spec_dm48_linear,48,0,no,0,256,5503,46.52
spec_dm48_linear,48,0,no,1,256,7714,33.19
spec_dm48_linear,48,0,no,2,256,6793,37.69
spec_dm16_tree_ps0_05,16,0.05,no,0,256,6928,36.95
spec_dm16_tree_ps0_05,16,0.05,no,1,256,10088,25.38
spec_dm16_tree_ps0_05,16,0.05,no,2,256,8489,30.16
spec_dm16_tree_ps0_1,16,0.1,no,0,256,6693,38.25
spec_dm16_tree_ps0_1,16,0.1,no,1,256,9953,25.72
spec_dm16_tree_ps0_1,16,0.1,no,2,256,8655,29.58
spec_dm32_tree_ps0_05,32,0.05,no,0,256,6761,37.86
spec_dm32_tree_ps0_05,32,0.05,no,1,256,9779,26.18
spec_dm32_tree_ps0_05,32,0.05,no,2,256,9682,26.44
spec_dm32_tree_ps0_1,32,0.1,no,0,256,6970,36.73
spec_dm32_tree_ps0_1,32,0.1,no,1,256,9766,26.21
spec_dm32_tree_ps0_1,32,0.1,no,2,256,9390,27.26
spec_dm8_lookup,8,0,yes,0,256,5822,43.97
spec_dm8_lookup,8,0,yes,1,256,7747,33.05
spec_dm8_lookup,8,0,yes,2,256,6975,36.70
spec_dm16_lookup,16,0,yes,0,256,5799,44.15
spec_dm16_lookup,16,0,yes,1,256,7865,32.55
spec_dm16_lookup,16,0,yes,2,256,6745,37.95
spec_dm16_tree_ps005_lookup,16,0.05,yes,0,256,6665,38.41
spec_dm16_tree_ps005_lookup,16,0.05,yes,1,256,9962,25.70
spec_dm16_tree_ps005_lookup,16,0.05,yes,2,256,8698,29.43
spec_dm32_tree_ps005_lookup,32,0.05,yes,0,256,6612,38.72
spec_dm32_tree_ps005_lookup,32,0.05,yes,1,256,9553,26.80
spec_dm32_tree_ps005_lookup,32,0.05,yes,2,256,9377,27.30
