model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
arch_122b,192t,192,8,default,0,128,44241,2.93
arch_122b,192t,192,8,default,1,128,46242,2.83
arch_122b,192t,192,8,default,2,128,53945,2.41
arch_122b,192t,192,8,default,3,128,34612,3.81
arch_122b,192t,192,8,default,4,128,31096,4.26
arch_122b,192t,192,8,default,5,128,47396,2.74
arch_122b,192t,192,8,default,6,128,46260,2.83
arch_122b,192t,192,8,default,7,128,53596,2.42
arch_122b,192t,192,8,default,8,128,34483,3.82
arch_122b,192t,192,8,default,9,128,30954,4.27
arch_122b,192t,192,16,default,0,128,41181,3.18
arch_122b,192t,192,16,default,1,128,89794,1.44
arch_122b,192t,192,16,default,2,128,48168,2.69
arch_122b,192t,192,16,default,3,128,24748,5.39
arch_122b,192t,192,16,default,4,128,42742,3.06
arch_122b,192t,192,16,default,5,128,47584,2.75
arch_122b,192t,192,16,default,6,128,89234,1.44
arch_122b,192t,192,16,default,7,128,48022,2.70
arch_122b,192t,192,16,default,8,128,24755,5.38
arch_122b,192t,192,16,default,9,128,42827,3.05
arch_122b,192t,192,24,default,0,128,36001,3.66
arch_122b,192t,192,24,default,1,128,110686,1.16
arch_122b,192t,192,24,default,2,128,50042,2.59
arch_122b,192t,192,24,default,3,128,25588,5.22
arch_122b,192t,192,24,default,4,128,45138,2.90
arch_122b,192t,192,24,default,5,128,38861,3.35
arch_122b,192t,192,24,default,6,128,111066,1.16
arch_122b,192t,192,24,default,7,128,50709,2.55
arch_122b,192t,192,24,default,8,128,25656,5.20
arch_122b,192t,192,24,default,9,128,45517,2.87
arch_122b,192t,192,32,default,0,128,30286,4.36
arch_122b,192t,192,32,default,1,128,123731,1.04
arch_122b,192t,192,32,default,2,128,48851,2.65
arch_122b,192t,192,32,default,3,128,23771,5.64
arch_122b,192t,192,32,default,4,128,53441,2.43
arch_122b,192t,192,32,default,5,128,48343,2.70
arch_122b,192t,192,32,default,6,128,124453,1.03
arch_122b,192t,192,32,default,7,128,49018,2.64
arch_122b,192t,192,32,default,8,128,23832,5.61
arch_122b,192t,192,32,default,9,128,53682,2.41
arch_122b,192t,192,48,default,0,128,46588,2.81
arch_122b,192t,192,48,default,1,128,160156,0.80
arch_122b,192t,192,48,default,2,128,49364,2.63
arch_122b,192t,192,48,default,3,128,23148,5.83
arch_122b,192t,192,48,default,4,128,51797,2.51
arch_122b,192t,192,48,default,5,128,46940,2.77
arch_122b,192t,192,48,default,6,128,160982,0.80
arch_122b,192t,192,48,default,7,128,49835,2.60
arch_122b,192t,192,48,default,8,128,23380,5.76
arch_122b,192t,192,48,default,9,128,52091,2.49
arch_122b,192t,192,8,0,0,128,26920,4.93
arch_122b,192t,192,8,0,1,128,24575,5.45
arch_122b,192t,192,8,0,2,128,32355,4.09
arch_122b,192t,192,8,0,3,128,32231,4.05
arch_122b,192t,192,8,0,4,128,32539,4.06
arch_122b,192t,192,8,0,5,128,24118,5.45
arch_122b,192t,192,8,0,6,128,25112,5.33
arch_122b,192t,192,8,0,7,128,32439,4.07
arch_122b,192t,192,8,0,8,128,32668,3.99
arch_122b,192t,192,8,0,9,128,32576,4.05
arch_122b,192t,192,8,0.05,0,128,45001,2.88
arch_122b,192t,192,8,0.05,1,128,47074,2.78
arch_122b,192t,192,8,0.05,2,128,54526,2.38
arch_122b,192t,192,8,0.05,3,128,35529,3.71
arch_122b,192t,192,8,0.05,4,128,31583,4.19
arch_122b,192t,192,8,0.05,5,128,48161,2.69
arch_122b,192t,192,8,0.05,6,128,46963,2.79
arch_122b,192t,192,8,0.05,7,128,54531,2.38
arch_122b,192t,192,8,0.05,8,128,34919,3.77
arch_122b,192t,192,8,0.05,9,128,31498,4.19
arch_122b,192t,192,8,0.1,0,128,44599,2.91
arch_122b,192t,192,8,0.1,1,128,46411,2.82
arch_122b,192t,192,8,0.1,2,128,54441,2.38
arch_122b,192t,192,8,0.1,3,128,34991,3.77
arch_122b,192t,192,8,0.1,4,128,31764,4.16
arch_122b,192t,192,8,0.1,5,128,48301,2.69
arch_122b,192t,192,8,0.1,6,128,46808,2.80
arch_122b,192t,192,8,0.1,7,128,53982,2.40
arch_122b,192t,192,8,0.1,8,128,34807,3.78
arch_122b,192t,192,8,0.1,9,128,31371,4.21
arch_122b,192t,192,8,0.2,0,128,43679,2.97
arch_122b,192t,192,8,0.2,1,128,45532,2.88
arch_122b,192t,192,8,0.2,2,128,53045,2.45
arch_122b,192t,192,8,0.2,3,128,33943,3.88
arch_122b,192t,192,8,0.2,4,128,30574,4.33
arch_122b,192t,192,8,0.2,5,128,47111,2.75
arch_122b,192t,192,8,0.2,6,128,45777,2.86
arch_122b,192t,192,8,0.2,7,128,53147,2.44
arch_122b,192t,192,8,0.2,8,128,34257,3.84
arch_122b,192t,192,8,0.2,9,128,30745,4.30
arch_122b,192t,192,8,0.3,0,128,44858,2.89
arch_122b,192t,192,8,0.3,1,128,47038,2.79
arch_122b,192t,192,8,0.3,2,128,54362,2.39
arch_122b,192t,192,8,0.3,3,128,34837,3.79
arch_122b,192t,192,8,0.3,4,128,31348,4.22
arch_122b,192t,192,8,0.3,5,128,47794,2.71
arch_122b,192t,192,8,0.3,6,128,46948,2.79
arch_122b,192t,192,8,0.3,7,128,54517,2.38
arch_122b,192t,192,8,0.3,8,128,34960,3.77
arch_122b,192t,192,8,0.3,9,128,31617,4.18
arch_122b,numa_96t,96,8,0,0,128,31360,4.23
arch_122b,numa_96t,96,8,0,1,128,28354,4.72
arch_122b,numa_96t,96,8,0,2,128,36508,3.62
arch_122b,numa_96t,96,8,0,3,128,36692,3.56
arch_122b,numa_96t,96,8,0,4,128,36475,3.62
arch_122b,numa_96t,96,8,0,5,128,27451,4.78
arch_122b,numa_96t,96,8,0,6,128,28427,4.71
arch_122b,numa_96t,96,8,0,7,128,35997,3.67
arch_122b,numa_96t,96,8,0,8,128,36986,3.52
arch_122b,numa_96t,96,8,0,9,128,36116,3.65
arch_122b,numa_96t,96,16,0,0,128,24703,5.40
arch_122b,numa_96t,96,16,0,1,128,24619,5.45
arch_122b,numa_96t,96,16,0,2,128,33425,3.95
arch_122b,numa_96t,96,16,0,3,128,33134,3.94
arch_122b,numa_96t,96,16,0,4,128,32650,4.00
arch_122b,numa_96t,96,16,0,5,128,31531,4.17
arch_122b,numa_96t,96,16,0,6,128,24987,5.38
arch_122b,numa_96t,96,16,0,7,128,33013,4.00
arch_122b,numa_96t,96,16,0,8,128,33297,3.92
arch_122b,numa_96t,96,16,0,9,128,32758,3.98
arch_122b,numa_96t,96,24,0,0,128,27728,4.73
arch_122b,numa_96t,96,24,0,1,128,24680,5.47
arch_122b,numa_96t,96,24,0,2,128,34568,3.82
arch_122b,numa_96t,96,24,0,3,128,34427,3.79
arch_122b,numa_96t,96,24,0,4,128,33951,3.84
arch_122b,numa_96t,96,24,0,5,128,31795,4.16
arch_122b,numa_96t,96,24,0,6,128,24374,5.55
arch_122b,numa_96t,96,24,0,7,128,34579,3.81
arch_122b,numa_96t,96,24,0,8,128,34488,3.78
arch_122b,numa_96t,96,24,0,9,128,33813,3.85
arch_122b,numa_96t,96,32,0,0,128,28131,4.66
arch_122b,numa_96t,96,32,0,1,128,24389,5.51
arch_122b,numa_96t,96,32,0,2,128,32889,4.01
arch_122b,numa_96t,96,32,0,3,128,34026,3.83
arch_122b,numa_96t,96,32,0,4,128,32892,3.97
arch_122b,numa_96t,96,32,0,5,128,31463,4.21
arch_122b,numa_96t,96,32,0,6,128,24840,5.42
arch_122b,numa_96t,96,32,0,7,128,33735,3.91
arch_122b,numa_96t,96,32,0,8,128,34144,3.82
arch_122b,numa_96t,96,32,0,9,128,32968,3.95
arch_122b,numa_96t,96,48,0,0,128,30384,4.31
arch_122b,numa_96t,96,48,0,1,128,25477,5.35
arch_122b,numa_96t,96,48,0,2,128,36176,3.65
arch_122b,numa_96t,96,48,0,3,128,36534,3.58
arch_122b,numa_96t,96,48,0,4,128,35963,3.63
arch_122b,numa_96t,96,48,0,5,128,33490,3.96
arch_122b,numa_96t,96,48,0,6,128,25568,5.34
arch_122b,numa_96t,96,48,0,7,128,36489,3.61
arch_122b,numa_96t,96,48,0,8,128,36666,3.56
arch_122b,numa_96t,96,48,0,9,128,35656,3.66
arch_122b,numa_96t,96,16,0,0,128,25588,5.21
arch_122b,numa_96t,96,16,0,1,128,25263,5.31
arch_122b,numa_96t,96,16,0,2,128,34072,3.88
arch_122b,numa_96t,96,16,0,3,128,34269,3.81
arch_122b,numa_96t,96,16,0,4,128,33528,3.89
arch_122b,numa_96t,96,16,0,5,128,32216,4.08
arch_122b,numa_96t,96,16,0,6,128,25421,5.28
arch_122b,numa_96t,96,16,0,7,128,33578,3.93
arch_122b,numa_96t,96,16,0,8,128,34098,3.82
arch_122b,numa_96t,96,16,0,9,128,33340,3.91
arch_122b,numa_96t,96,16,0.05,0,128,42978,3.06
arch_122b,numa_96t,96,16,0.05,1,128,97814,1.32
arch_122b,numa_96t,96,16,0.05,2,128,50516,2.57
arch_122b,numa_96t,96,16,0.05,3,128,26546,5.06
arch_122b,numa_96t,96,16,0.05,4,128,44452,2.95
arch_122b,numa_96t,96,16,0.05,5,128,49331,2.66
arch_122b,numa_96t,96,16,0.05,6,128,97956,1.32
arch_122b,numa_96t,96,16,0.05,7,128,49940,2.60
arch_122b,numa_96t,96,16,0.05,8,128,26599,5.04
arch_122b,numa_96t,96,16,0.05,9,128,44250,2.96
arch_122b,numa_96t,96,16,0.1,0,128,41589,3.16
arch_122b,numa_96t,96,16,0.1,1,128,93286,1.38
arch_122b,numa_96t,96,16,0.1,2,128,48132,2.70
arch_122b,numa_96t,96,16,0.1,3,128,25189,5.32
arch_122b,numa_96t,96,16,0.1,4,128,42649,3.07
arch_122b,numa_96t,96,16,0.1,5,128,48317,2.71
arch_122b,numa_96t,96,16,0.1,6,128,93232,1.38
arch_122b,numa_96t,96,16,0.1,7,128,48503,2.68
arch_122b,numa_96t,96,16,0.1,8,128,25355,5.28
arch_122b,numa_96t,96,16,0.1,9,128,42535,3.08
arch_122b,numa_96t,96,16,0.2,0,128,42368,3.10
arch_122b,numa_96t,96,16,0.2,1,128,96794,1.33
arch_122b,numa_96t,96,16,0.2,2,128,49034,2.65
arch_122b,numa_96t,96,16,0.2,3,128,25699,5.22
arch_122b,numa_96t,96,16,0.2,4,128,44216,2.96
arch_122b,numa_96t,96,16,0.2,5,128,48616,2.69
arch_122b,numa_96t,96,16,0.2,6,128,96980,1.33
arch_122b,numa_96t,96,16,0.2,7,128,49081,2.64
arch_122b,numa_96t,96,16,0.2,8,128,26273,5.10
arch_122b,numa_96t,96,16,0.2,9,128,43929,2.98
arch_122b,numa_96t,96,16,0.3,0,128,42732,3.07
arch_122b,numa_96t,96,16,0.3,1,128,97115,1.33
arch_122b,numa_96t,96,16,0.3,2,128,49838,2.61
arch_122b,numa_96t,96,16,0.3,3,128,26529,5.05
arch_122b,numa_96t,96,16,0.3,4,128,44012,2.98
arch_122b,numa_96t,96,16,0.3,5,128,49947,2.62
arch_122b,numa_96t,96,16,0.3,6,128,98375,1.31
