model,mode,threads,draft_max,p_split,request_idx,tokens_generated,time_ms,tokens_per_sec
coder_q4km,192t,192,4,0,0,128,13716,9.33
coder_q4km,192t,192,4,0,1,128,17919,7.14
coder_q4km,192t,192,4,0,2,128,14990,8.54
coder_q4km,192t,192,4,0,3,128,16656,7.68
coder_q4km,192t,192,4,0,4,128,16932,7.56
coder_q4km,192t,192,4,0,5,128,11315,11.31
coder_q4km,192t,192,4,0,6,128,17278,7.41
coder_q4km,192t,192,4,0,7,128,17937,7.14
coder_q4km,192t,192,4,0,8,128,16019,7.99
coder_q4km,192t,192,4,0,9,128,19201,6.67
coder_q4km,192t,192,8,0,0,128,9182,13.94
coder_q4km,192t,192,8,0,1,128,15461,8.28
coder_q4km,192t,192,8,0,2,128,19453,6.58
coder_q4km,192t,192,8,0,3,128,17130,7.47
coder_q4km,192t,192,8,0,4,128,18331,6.98
coder_q4km,192t,192,8,0,5,128,9679,13.22
coder_q4km,192t,192,8,0,6,128,14767,8.67
coder_q4km,192t,192,8,0,7,128,15005,8.53
coder_q4km,192t,192,8,0,8,128,15310,8.36
coder_q4km,192t,192,8,0,9,128,17506,7.31
coder_q4km,192t,192,16,0,0,128,8432,15.18
coder_q4km,192t,192,16,0,1,128,17761,7.21
coder_q4km,192t,192,16,0,2,128,14645,8.74
coder_q4km,192t,192,16,0,3,128,15371,8.33
coder_q4km,192t,192,16,0,4,128,14448,8.86
coder_q4km,192t,192,16,0,5,128,7607,16.83
coder_q4km,192t,192,16,0,6,128,16792,7.62
coder_q4km,192t,192,16,0,7,128,14007,9.14
coder_q4km,192t,192,16,0,8,128,17971,7.12
coder_q4km,192t,192,16,0,9,128,18208,7.03
coder_q4km,192t,192,24,0,0,128,10013,12.78
coder_q4km,192t,192,24,0,1,128,19760,6.48
coder_q4km,192t,192,24,0,2,128,18318,6.99
coder_q4km,192t,192,24,0,3,0,3364,0.00
coder_q4km,192t,192,24,0,4,0,18,0.00
coder_q4km,192t,192,24,0,5,0,21,0.00
coder_q4km,192t,192,24,0,6,0,18,0.00
coder_q4km,192t,192,24,0,7,0,18,0.00
coder_q4km,192t,192,24,0,8,0,18,0.00
coder_q4km,192t,192,24,0,9,0,18,0.00
coder_q4km,192t,192,32,0,0,0,19,0.00
coder_q4km,192t,192,32,0,1,0,19,0.00
coder_q4km,192t,192,32,0,2,0,19,0.00
coder_q4km,192t,192,32,0,3,0,19,0.00
coder_q4km,192t,192,32,0,4,0,18,0.00
coder_q4km,192t,192,32,0,5,0,18,0.00
coder_q4km,192t,192,32,0,6,0,17,0.00
coder_q4km,192t,192,32,0,7,0,18,0.00
coder_q4km,192t,192,32,0,8,0,18,0.00
coder_q4km,192t,192,32,0,9,0,18,0.00
coder_q4km,192t,192,48,0,0,0,19,0.00
coder_q4km,192t,192,48,0,1,0,17,0.00
coder_q4km,192t,192,48,0,2,0,18,0.00
coder_q4km,192t,192,48,0,3,0,17,0.00
coder_q4km,192t,192,48,0,4,0,18,0.00
coder_q4km,192t,192,48,0,5,0,20,0.00
coder_q4km,192t,192,48,0,6,0,18,0.00
coder_q4km,192t,192,48,0,7,0,18,0.00
coder_q4km,192t,192,48,0,8,0,17,0.00
coder_q4km,192t,192,48,0,9,0,18,0.00
coder_q4km,numa_48t,48,4,0,0,128,9848,13.00
coder_q4km,numa_48t,48,4,0,1,128,22228,5.76
coder_q4km,numa_48t,48,4,0,2,128,13677,9.36
coder_q4km,numa_48t,48,4,0,3,128,25191,5.08
coder_q4km,numa_48t,48,4,0,4,128,48585,2.63
coder_q4km,numa_48t,48,4,0,5,128,23780,5.38
coder_q4km,numa_48t,48,4,0,6,128,29525,4.34
coder_q4km,numa_48t,48,4,0,7,128,13314,9.61
coder_q4km,numa_48t,48,4,0,8,128,13381,9.57
coder_q4km,numa_48t,48,4,0,9,128,14798,8.65
coder_q4km,numa_48t,48,8,0,0,128,7895,16.21
coder_q4km,numa_48t,48,8,0,1,128,13586,9.42
coder_q4km,numa_48t,48,8,0,2,128,13631,9.39
coder_q4km,numa_48t,48,8,0,3,128,13356,9.58
coder_q4km,numa_48t,48,8,0,4,128,15169,8.44
coder_q4km,numa_48t,48,8,0,5,128,8063,15.87
coder_q4km,numa_48t,48,8,0,6,128,12989,9.85
coder_q4km,numa_48t,48,8,0,7,128,13736,9.32
coder_q4km,numa_48t,48,8,0,8,128,13469,9.50
