model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
coder_q4km,192t,192,8,default,0,128,5958,22.35
coder_q4km,192t,192,8,default,1,128,9090,14.51
coder_q4km,192t,192,8,default,2,128,8809,14.92
coder_q4km,192t,192,8,default,3,128,7487,17.61
coder_q4km,192t,192,8,default,4,128,7441,17.69
coder_q4km,192t,192,8,default,5,128,5836,22.85
coder_q4km,192t,192,8,default,6,128,8943,14.71
coder_q4km,192t,192,8,default,7,128,8612,15.24
coder_q4km,192t,192,8,default,8,128,7442,17.69
coder_q4km,192t,192,8,default,9,128,7287,18.06
coder_q4km,192t,192,16,default,0,128,5236,25.55
coder_q4km,192t,192,16,default,1,128,9177,14.35
coder_q4km,192t,192,16,default,2,128,7458,17.70
coder_q4km,192t,192,16,default,3,128,7271,18.14
coder_q4km,192t,192,16,default,4,128,7477,17.60
coder_q4km,192t,192,16,default,5,128,5209,25.70
coder_q4km,192t,192,16,default,6,128,9030,14.57
coder_q4km,192t,192,16,default,7,128,7387,17.85
coder_q4km,192t,192,16,default,8,128,7193,18.30
coder_q4km,192t,192,16,default,9,128,7409,17.75
coder_q4km,192t,192,24,default,0,128,5495,24.29
coder_q4km,192t,192,24,default,1,128,9182,14.35
coder_q4km,192t,192,24,default,2,128,7386,17.87
coder_q4km,192t,192,24,default,3,128,7275,18.14
coder_q4km,192t,192,24,default,4,128,7453,17.67
coder_q4km,192t,192,24,default,5,128,5327,25.06
coder_q4km,192t,192,24,default,6,128,9121,14.40
coder_q4km,192t,192,24,default,7,128,7281,18.12
coder_q4km,192t,192,24,default,8,128,7233,18.21
coder_q4km,192t,192,24,default,9,128,7494,17.54
coder_q4km,192t,192,32,default,0,128,5334,25.04
coder_q4km,192t,192,32,default,1,128,9101,14.47
coder_q4km,192t,192,32,default,2,128,7521,17.56
coder_q4km,192t,192,32,default,3,128,7253,18.19
coder_q4km,192t,192,32,default,4,128,7442,17.69
coder_q4km,192t,192,32,default,5,128,5235,25.52
coder_q4km,192t,192,32,default,6,128,9063,14.49
coder_q4km,192t,192,32,default,7,128,7558,17.44
coder_q4km,192t,192,32,default,8,128,7333,17.95
coder_q4km,192t,192,32,default,9,128,7451,17.65
coder_q4km,192t,192,48,default,0,128,5660,23.55
coder_q4km,192t,192,48,default,1,128,9299,14.17
coder_q4km,192t,192,48,default,2,128,7538,17.54
coder_q4km,192t,192,48,default,3,128,7203,18.31
coder_q4km,192t,192,48,default,4,128,7527,17.48
coder_q4km,192t,192,48,default,5,128,5454,24.45
