created_at,arm,prompt_idx,status,completion_tokens,elapsed_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate,taxonomy,error
2026-07-16T19:08:53.674734+00:00,positive_mtp,0,ok,96,3712,25.8621,45,49,0.918367,drafted_ok,
2026-07-16T19:08:57.390283+00:00,positive_mtp,1,ok,96,3715,25.8412,45,50,0.900000,drafted_ok,
2026-07-16T19:09:01.122573+00:00,positive_mtp,2,ok,96,3732,25.7235,45,49,0.918367,drafted_ok,
2026-07-16T19:09:04.897410+00:00,positive_mtp,3,ok,96,3774,25.4372,44,51,0.862745,drafted_ok,
2026-07-16T19:09:08.741908+00:00,positive_mtp,4,ok,96,3844,24.9740,43,52,0.826923,drafted_ok,
2026-07-16T19:09:12.447407+00:00,positive_mtp,5,ok,96,3705,25.9109,45,49,0.918367,drafted_ok,
2026-07-16T19:09:16.189574+00:00,positive_mtp,6,ok,96,3742,25.6547,45,50,0.900000,drafted_ok,
2026-07-16T19:09:20.037151+00:00,positive_mtp,7,ok,96,3847,24.9545,43,51,0.843137,drafted_ok,
2026-07-16T19:09:29.492573+00:00,spec_off,0,ok,96,5399,17.7811,0,0,0.000000,spec_off_control,
2026-07-16T19:09:34.876947+00:00,spec_off,1,ok,96,5384,17.8306,0,0,0.000000,spec_off_control,
2026-07-16T19:09:40.291190+00:00,spec_off,2,ok,96,5414,17.7318,0,0,0.000000,spec_off_control,
2026-07-16T19:09:45.679445+00:00,spec_off,3,ok,96,5388,17.8174,0,0,0.000000,spec_off_control,
2026-07-16T19:09:51.053143+00:00,spec_off,4,ok,96,5373,17.8671,0,0,0.000000,spec_off_control,
2026-07-16T19:09:56.457544+00:00,spec_off,5,ok,96,5404,17.7646,0,0,0.000000,spec_off_control,
2026-07-16T19:10:01.856396+00:00,spec_off,6,ok,96,5398,17.7844,0,0,0.000000,spec_off_control,
2026-07-16T19:10:07.209470+00:00,spec_off,7,ok,96,5352,17.9372,0,0,0.000000,spec_off_control,
2026-07-16T19:10:17.034541+00:00,n5_spec_on,0,ok,96,5473,17.5407,47,47,1.000000,drafted_ok,
2026-07-16T19:10:22.633440+00:00,n5_spec_on,1,ok,96,5598,17.1490,47,47,1.000000,drafted_ok,
2026-07-16T19:10:28.447762+00:00,n5_spec_on,2,ok,96,5814,16.5119,47,47,1.000000,drafted_ok,
2026-07-16T19:10:33.891943+00:00,n5_spec_on,3,ok,96,5444,17.6341,47,47,1.000000,drafted_ok,
2026-07-16T19:10:39.250743+00:00,n5_spec_on,4,ok,96,5358,17.9171,47,47,1.000000,drafted_ok,
2026-07-16T19:10:44.545486+00:00,n5_spec_on,5,ok,96,5294,18.1337,47,47,1.000000,drafted_ok,
2026-07-16T19:10:50.327254+00:00,n5_spec_on,6,ok,96,5781,16.6061,47,47,1.000000,drafted_ok,
2026-07-16T19:10:55.331173+00:00,n5_spec_on,7,ok,96,5003,19.1885,47,47,1.000000,drafted_ok,
