0.00.035.342 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.680 W srv  llama_server: -----------------
0.00.035.682 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.682 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.682 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.682 W srv  llama_server: -----------------
0.00.036.892 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.6-35B-A3B-MTP-Q8_0.gguf'
0.02.335.836 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.365.146 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.365.190 I srv  llama_server: model loaded
0.02.365.195 I srv  llama_server: listening on http://127.0.0.1:19087
0.04.123.521 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.123.629 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.07.821.770 I slot print_timing: id  0 | task 0 | prompt eval time =     296.99 ms /    29 tokens (   10.24 ms per token,    97.65 tokens per second)
0.07.821.775 I slot print_timing: id  0 | task 0 |        eval time =    3401.11 ms /    96 tokens (   35.43 ms per token,    28.23 tokens per second)
0.07.821.776 I slot print_timing: id  0 | task 0 |       total time =    3698.10 ms /   125 tokens
0.07.821.781 I slot print_timing: id  0 | task 0 |    graphs reused =         49
0.07.821.784 I slot print_timing: id  0 | task 0 | draft acceptance = 0.91837 (   45 accepted /    49 generated), mean len =  1.92
0.07.821.847 I slot      release: id  0 | task 0 | stop processing: n_tokens = 124, truncated = 0
0.07.832.599 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.024
0.07.847.311 I slot launch_slot_: id  0 | task 53 | processing task, is_child = 0
0.11.537.354 I slot print_timing: id  0 | task 53 | prompt eval time =     273.51 ms /    26 tokens (   10.52 ms per token,    95.06 tokens per second)
0.11.537.359 I slot print_timing: id  0 | task 53 |        eval time =    3416.50 ms /    96 tokens (   35.59 ms per token,    28.10 tokens per second)
0.11.537.359 I slot print_timing: id  0 | task 53 |       total time =    3690.01 ms /   122 tokens
0.11.537.361 I slot print_timing: id  0 | task 53 |    graphs reused =         98
0.11.537.364 I slot print_timing: id  0 | task 53 | draft acceptance = 0.90000 (   45 accepted /    50 generated), mean len =  1.90
0.11.537.401 I slot      release: id  0 | task 53 | stop processing: n_tokens = 121, truncated = 0
0.11.547.491 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.025
0.11.561.939 I slot launch_slot_: id  0 | task 106 | processing task, is_child = 0
0.15.269.800 I slot print_timing: id  0 | task 106 | prompt eval time =     285.89 ms /    26 tokens (   11.00 ms per token,    90.94 tokens per second)
