build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","1","0","0","2026-03-09T21:49:08Z","267993207","7741467","3.733526","0.108445"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","2","0","0","2026-03-09T21:49:09Z","356330931","101974993","5.949262","1.787261"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","4","0","0","2026-03-09T21:49:11Z","182703304","104403","21.893424","0.012295"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","8","0","0","2026-03-09T21:49:11Z","351469578","54057113","23.097603","3.278598"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","16","0","0","2026-03-09T21:49:13Z","292798331","18113184","54.785044","3.394968"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","32","0","0","2026-03-09T21:49:14Z","524901453","80362873","61.960869","9.802801"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","64","0","0","2026-03-09T21:49:16Z","837902917","14336663","76.396213","1.319305"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","128","0","0","2026-03-09T21:49:20Z","1396751589","9582695","91.644072","0.626592"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","256","0","0","2026-03-09T21:49:25Z","2606552321","25821599","98.220452","0.972883"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF/Qwen2.5-Coder-32B-Instruct-Q4_K_M.gguf","qwen2 32B Q4_K - Medium","19845357568","32763876352","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-09T21:49:36Z","5179409197","24911182","98.854495","0.474556"
