build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","1","0","0","2026-03-09T21:53:43Z","118873307","13844095","8.488097","0.978170"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","2","0","0","2026-03-09T21:53:43Z","196229927","21451846","10.269087","1.056008"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","4","0","0","2026-03-09T21:53:44Z","158524827","7424525","25.269781","1.189914"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","8","0","0","2026-03-09T21:53:45Z","153450775","5938169","52.186554","2.038236"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","16","0","0","2026-03-09T21:53:46Z","136192676","5999985","117.633436","5.204793"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","32","0","0","2026-03-09T21:53:46Z","67882945","775999","471.440529","5.357318"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","64","0","0","2026-03-09T21:53:46Z","85389299","1234306","749.612014","10.748190"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","128","0","0","2026-03-09T21:53:47Z","142622093","325016","897.479773","2.047673"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","256","0","0","2026-03-09T21:53:47Z","264301653","6232588","968.944617","22.542136"
"6e49ca1ae","8208","AMD EPYC 9655 96-Core Processor","","CPU","/mnt/raid0/llm/lmstudio/models/unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf","qwen35 2B Q8_0","800881920","752393024","2048","512","96","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-09T21:53:49Z","506534965","8506575","1010.977924","16.870029"
