prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,12,18.31,1.809,9,7,77.8
1,2,8.11,2.073,2,0,0.0
2,10,14.23,1.208,18,5,27.8
3,2,9.47,2.19,1,0,0.0
4,25,18.54,2.118,20,15,75.0
5,2,10.51,1.326,3,0,0.0
6,412,27.55,16.731,376,329,87.5
7,2,12.1,1.605,1,0,0.0
8,394,21.33,19.034,356,271,76.1
9,2,14.71,0.563,1,0,0.0
10,258,27.81,9.961,224,198,88.4
11,2,11.32,1.944,1,0,0.0
12,366,23.42,16.216,361,265,73.4
13,2,10.12,1.909,1,0,0.0
14,306,24.2,13.245,311,228,73.3
15,2,11.26,1.971,1,0,0.0
16,474,23.23,21.684,453,349,77.0
17,2,11.95,1.054,3,0,0.0
18,512,27.41,19.356,493,403,81.7
19,2,9.52,1.989,2,0,0.0
