prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,54,3.1,19.791,117,26,22.2
1,512,9.21,59.275,470,431,91.7
2,512,4.49,115.23,461,326,70.7
3,489,7.77,66.633,485,399,82.3
4,512,10.87,48.801,506,454,89.7
5,512,4.64,112.589,485,328,67.6
6,512,5.4,98.256,548,364,66.4
7,512,14.62,37.983,493,475,96.3
8,512,5.2,99.86,487,349,71.7
9,200,3.63,56.005,213,103,48.4
10,512,4.9,105.894,491,337,68.6
11,444,5.68,81.638,406,312,76.8
12,512,3.89,132.969,557,291,52.2
13,512,15.5,36.508,496,476,96.0
14,512,4.7,110.263,493,331,67.1
15,410,4.76,89.54,380,258,67.9
16,512,4.59,113.992,522,332,63.6
17,512,5.68,91.804,573,374,65.3
18,512,4.84,107.134,482,336,69.7
19,512,5.33,99.914,565,369,65.3
