pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0,0,256,6219,41.16,198,274,.7226
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0,1,256,7768,32.95,130,257,.5058
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0,2,256,6618,38.68,173,276,.6268
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0,3,256,7466,34.28,138,283,.4876
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.05,0,256,7086,36.12,207,302,.6854
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.05,1,256,9321,27.46,155,301,.5149
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.05,2,256,8139,31.45,179,271,.6605
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.05,3,256,9183,27.87,158,302,.5231
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.1,0,256,6946,36.85,207,302,.6854
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.1,1,256,10058,25.45,155,301,.5149
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.1,2,256,8569,29.87,179,271,.6605
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.1,3,256,9102,28.12,158,302,.5231
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.2,0,256,7304,35.04,207,302,.6854
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.2,1,256,10438,24.52,155,301,.5149
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.2,2,256,9160,27.94,179,271,.6605
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.2,3,256,10091,25.36,158,302,.5231
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.3,0,256,6713,38.13,207,302,.6854
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.3,1,256,9387,27.27,155,301,.5149
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.3,2,256,8602,29.76,179,271,.6605
15,Qwen3-Coder-30B-A3B-Q4KM+0.75B-Q4,0.3,3,256,9348,27.38,158,302,.5231
